key	translation
bgspeaker.ladies_gentlemen_heating_up_sftv	Дамы и господа, здесь в студии SFTV становится жарко!
name.the_funnyman	Весельчак
bgspeaker.team_blue_on_fire_real_firepower	Команда Синих сегодня в УДАРЕ! Но посмотрим, как они справятся с настоящим огнем! Пора...
bgspeaker.the_last_stand	...ПОСЛЕДНЕЙ БИТВЫ!
funnyman.amazing	Потрясающе!
funnyman.did_you_see_that_incredible	Вы это видели, дорогие телезрители! Невероятно!
funnyman.wow	Ух ты!
funnyman.unbelievable	Невероятно!
funnyman.oooo_nasty	Ооо, как больно!
funnyman.another_one_bites_the_dust	Еще один повержен, дамы и господа!
funnyman.oof_thats_gotta_hurt	Ух, это же больно!
funnyman.aha_challenger_approaches	Ага! Новый претендент выходит!
funnyman.look_out_team_blue_danger	Берегитесь, Команда Синих! Опасность, опасность!
funnyman.fine_work_break	Отличная работа! Не расходитесь, время перерыва.
funnyman.fine_work_team_blue_right_back	Отличная работа, Команда Синих! Мы скоро вернемся!
funnyman.team_blue_lives_another_day_commercials	Команда Синих жива и будет сражаться дальше! Скоро вернемся. Реклама!
funnyman.team_blue_wins_sponsors	Команда Синих снова побеждает! Вернемся после слова спонсоров!
funnyman.team_blue_unstoppable_right_back	Команда Синих неудержима! Мы скоро вернемся!
funnyman.beautiful_more_after_break	Прекрасно! Еще больше Команды Синих после перерыва!
funnyman.quality_entertainment_dont_change_channel	Вот это развлечение! Не переключайтесь, мы скоро вернемся!
funnyman.what_a_show_right_back	Дамы и господа, вот это шоу! Мы скоро вернемся!
funnyman.boom_dont_touch_switch	Бум! Не трогайте переключатель, мы скоро вернемся!
funnyman.dont_go_anywhere_messages	Не уходите, вернемся после сообщений!
funnyman.team_blue_doesnt_disappoint_stick_around	Команда Синих не разочаровывает! Оставайтесь с нами!
funnyman.will_team_blue_ever_be_bested	Сумеют ли одолеть Команду Синих? Узнаете после сообщений!
funnyman.team_blue_wins_how_long_luck_last	Команда Синих снова побеждает — но надолго ли хватит удачи? Оставайтесь с нами!
funnyman.thats_what_its_all_about_messages	Вот ради чего все это! Вернемся после сообщений!
funnyman.fantastic_more_after_break	Фантастика! Еще больше Команды Синих после перерыва. Не уходите!
funnyman.whew_team_blue_goner_stick_around	Ух, я думал, Команде Синих конец! Оставайтесь с нами, мы скоро вернемся!
funnyman.all_for_tonight_give_it_up	На сегодня все! Еще раз поприветствуем Команду Синих!
funnyman.thats_it_for_team_blue	Это конец Команды Синих, дамы и господа!
funnyman.glorious_end_give_it_up	Славный конец! Поприветствуем Команду Синих, дамы и господа!
funnyman.team_blue_bites_dust_at_last	Команда Синих наконец повержена!
funnyman.bad_luck_long_good_run	Не повезло, Команда Синих! Вы долго держались!
funnyman.thats_team_blue_what_a_show	Вот и Команда Синих, дамы и господа! Вот это шоу!
