key	translation
punk.no_one_gets_out_by_order_of_balista	Ninguém sai, por ordem da Balista!
firebug.growl_mfgllll	Mfgllll mfwrrrr! MFWRRRR!
prisoner.want_phone_call	Ei, chefe! Quero minha ligação!
prisoner.look_out	Ei, CUIDADO!
prisoner.what_hell_going_on	Q-que diabos está acontecendo lá fora?
punk_leader.kill_prisoners_too	Matem os prisioneiros também! Já temos guerreiros suficientes!
prisoner.god_save_us_hive_gang	Deus nos salve – é a Gangue da Colmeia!
santana.respect_law_and_order	EI! Vocês não têm nenhum respeito pela lei e ordem?!
bobby.nope	Não.
balista.kill_them	Matem-nos.
johnny.you_bastards	SEUS DESGRAÇADOS! Vocês não vão se safar dessa!
balista.seal_all_exits_visit_commissioner	Quero todas as saídas seladas. Ninguém entra nem sai. Vou fazer uma visita ao Comissário.
balista.full_well_detective_good_night	Eu sei MUITO BEM disso, detetive. Boa noite.
bobby.heard_lady_copper_goodnight	Ouviu a dama, tira. Hora de dizer boa noite!
grub.strange_noise_ignore	Barulho estranho... Vou ignorar.
bobby.you_got_it_queen_b	Entendido, Rainha B.
balista.report_mass_murderer	Alô. Quero denunciar o paradeiro de uma notória ASSASSINA EM MASSA.
name.mystery_woman	Desconhecida
receptionist.sure_lady_who	Claro, senhora. Quem?
balista.me	Eu.
receptionist.b_balista	B-Balista!
officer.too_many_damn_many	São muitos... muitos demais!
com.blood_for_balista	Sangue! Sangue por BALISTA!
officer.pipe_it_down	Tá, tá. Baixa o volume!
receptionist.electricity_back_cameras	Pelo menos a energia voltou... mas que diabos está acontecendo com as câmeras de segurança?
officer.why_mcbride_brought_rogue_fighters	Por que o McBride trouxe esses lutadores renegados? A MetroLaw vai pegá-los no fim – não adianta resistir.
officer.wanted_for_questioning_corporate_slime	Sei lá. Queria interrogá-los ou algo assim. Ou só quis ferrar aqueles babacas corporativos.
officer.serves_em_right_good_police	Bem feito! Não sei o que o McBride trama, mas é bom policial. Não restam muitos nesta cidade...
punk.yeee_hawww	Ihaaaa!!!
punk_leader.dead_pissed_off_hive_gang	Morto?!\r\n\r\nSeja quem for, você irritou a Gangue da Colmeia!
text.block	BLOCO
text.exit	SAÍDA
text.balista_is_queen	BALISTA\r\n  É\r\nRAINHA
text.hive_gang	GANGUE DA COLMEIA
text.help	SOCORRO
text.kill_em_all	MATEM\r\nTODOS
text.kill	MATE
text.hive_gang_rulez	GANGUE DA COLMEIA\r\n MANDA!
text.rulez	MANDA
text.detention_block_a	BLOCO DE DETENÇÃO A
popup.sunny_city_20xx	Sunny City, 20XX\r\n\r\n
popup.sunny_city_9th_precinct	Sunny City, 20XX\r\n\r\n9º Distrito
jug.borrow_buck_soda	Ei Frank, me empresta um dólar? Quero comprar um refri da máquina.
frank.buy_soda_thug_bat_smash	Comprar um refri? COMPRAR um refri?! Você é um BANDIDO! Tem um TACO! É só QUEBRAR essa porcaria!
jug.sounds_like_lot_of_work	Oooh... Não sei, parece muito trabalho... Mais fácil só...
frank.not_point_principles_paying	Não é ESSE o ponto! É sobre... PRINCÍPIOS! Onde a Gangue da Colmeia estaria se começássemos a PAGAR pelas coisas?
jug.right_frank_principles	Acho que tem razão, Frank... É importante ter princípios.
frank.people_these_days	O povo hoje em dia...
johnny.youre_those_prisoners_survive_help	Ei, vocês são aqueles prisioneiros! Como sobreviveram? Deixa pra lá. Vejo que não são amigos da Gangue da Colmeia. Vamos nos ajudar.
johnny.pilot_detention_block_d_kill_balista	Tem um piloto, prisioneiro como vocês, no Bloco D. Se alguém pode tirar vocês daqui, é ele. Eu levo vocês até lá – mas primeiro me ajudem a matar a Balista.
johnny.crap_coming_elevator_behind	Merda, estão vindo! Escuta. Tem um elevador atrás da porta atrás de você. Vou tentar achar outro caminho lá pra cima. Te encontro lá – espero.
agent.tell_men_relax_take_over	Pode dizer aos seus homens para relaxarem, detetive. Nós assumimos daqui.
detective_kong.mercenary_scumbags_wanted_cops	Seus mercenários escrotos! Pedi reforços – POLICIAIS, não um bando de mercenários com dedo no gatilho!
agent.mayor_deems_insufficient_professionals	O prefeito considera seu departamento... INSUFICIENTE para a situação. Deixe com os profissionais.
detective_kong.you_oughta	Seu... seu... por que eu deveria...!
agent.alpha_tango_deploy_streetsweepers	Alfa tango para zeta foxtrot. Acionem os Varredores.
