key	translation
diag.prison.guard.no.one.out	¡Nadie sale, por orden de Balista!
diag.prison.inmate.gargle	Mfgllll mfwrrrr! ¡MFWRRRR!
diag.prison.inmate.phonecall	¡Jefe! ¡Quiero mi llamada!
diag.prison.inmate.lookout	¡Eh, CUIDADO!
diag.prison.cop.whats.going.on	¿Q-qué demonios está pasando ahí fuera?
diag.prison.balista.kill.prisoners	¡Matad también a los prisioneros! ¡Tenemos todos los guerreros que necesitamos!
diag.prison.cop.hive.gang	¡Dios nos salve, es la banda Hive!
diag.prison.cop.respect.law	¡OYE! ¿Es que no respetáis ni la ley ni el orden?!
diag.prison.hive.nope	Nanay.
diag.prison.hive.kill.them	Matadlos.
diag.prison.cop.bastards	¡BASTARDOS! ¡No os saldréis con la vuestra!
diag.prison.balista.seal.exits	Quiero todas las salidas selladas. Que nadie entre ni salga. Voy a visitar al Comisario.
diag.prison.balista.full.well	Lo sé PERFECTAMENTE, detective. Buenas noches.
diag.prison.hive.goodnight.copper	Has oído a la dama, poli. ¡Hora de decir buenas noches!
diag.prison.guard.ignore.noise	Ruido raro... lo ignoraré.
diag.prison.hive.queen.b	Entendido, Reina B.
diag.phone.mystery.report.murderer	Hola. Quiero denunciar el paradero de un notorio ASESINO EN SERIE.
name.mystery.woman	Mujer misteriosa
diag.phone.dispatch.who	Claro, señora. ¿Quién?
diag.phone.mystery.me	Yo.
diag.phone.dispatch.balista	¡B-Balista!
diag.prison.hive.too.many	¡Demasiados... malditos, demasiados!
diag.prison.hive.blood.balista	—¡Sangre! ¡Sangre para BALISTA!
diag.prison.hive.pipe.down	¡Sí, sí! ¡Baja la voz!
diag.prison.cop.electricity.cameras	Al menos la electricidad ha vuelto... pero ¿qué demonios pasa con las cámaras?
diag.prison.cop.mcbride.rogue	¿Por qué trajo McBride a esos luchadores renegados? MetroLaw acabará con ellos, no tiene sentido resistirse.
diag.prison.cop2.corporate.slimeballs	No sé. Quería interrogarlos o algo así. O quizá solo quería fastidiar a esos gusanos corporativos.
diag.prison.cop.good.police	¡Bien merecido! No sé qué trama McBride, pero es buen policía. Ya quedan pocos en esta ciudad...
diag.prison.hive.yeehaw	¡Yeee-hawww!
diag.prison.hive.dead.pissed	¿¡Muerto!?\r\n\r\n¡Quienquiera que seas, acabas de cabrear a la banda Hive!
text.cell.block	Bloque
text.sign.exit	SALIDA
text.graf.balista.is.queen	BALISTA\r\n  ES\r\nREINA
text.graf.hive.gang	BANDA HIVE
text.graf.help	AYUDA
text.graf.kill.em.all	MATAD\r\nLOS\r\nA TODOS
text.graf.kill	MATAD
text.graf.hive.rulez	BANDA HIVE\r\n ¡MOLA!
text.graf.rulez	 ¡MOLA!
text.sign.detention.a	BLOQUE DE DETENCIÓN A
popup.city.sunny.intro	Sunny City, 20XX\r\n\r\n
popup.city.9th.precinct	Sunny City, 20XX\r\n\r\nComisaría 9
diag.blockb.hive.borrow.buck	¿Eh Frank, me prestas un dólar? Quiero comprarme un refresco de la máquina.
diag.blockb.frank.buy.soda.smash	¿Comprar un refresco? ¡¿COMPRAR un refresco?! ¡Eres un MATÓN! ¡Tienes un BATE! ¡¡Revienta la maldita cosa!!
diag.blockb.hive.lot.of.work	Umm... no sé, suena a mucho curro... Más fácil...
diag.blockb.frank.principles	¡Ese no es el TEMA! ¡Es cuestión de... de PRINCI-PIOS! ¿Dónde estaría la banda Hive si empezáramos a PAGAR por las cosas?
diag.blockb.hive.right.principles	Supongo que tienes razón, Frank... Es importante tener princi-pios.
diag.blockb.frank.people.days	La gente de hoy en día...
diag.blockb.mcbride.survive.help	¡Eh, sois esos prisioneros! ¿Cómo demonios habéis sobrevivido? Da igual. Veo que no sois amigos de la banda Hive. Así que ayudémonos.
diag.blockb.mcbride.pilot.block.d	Hay un piloto, prisionero como vosotros. Está en el Bloque de Detención D. Si alguien puede sacaros de este lío, es él. Y puedo llevaros hasta él, pero antes tenéis que ayudarme a matar a Balista.
diag.blockb.mcbride.elevator.behind	Mierda, ¡ya vienen! Escuchad. Hay un ascensor por la puerta de atrás. Yo intentaré encontrar otro camino para subir. Nos vemos allí, espero.
diag.roof.metrolaw.relax.detective	Pueden decirle a sus hombres que se relajen, detective. Nos encargamos nosotros.
