key	translation
frankie.heeelp_is_someone_in_there	Помогите! Там есть кто?!
frankie.oh_god_theyre_coming	О боже, они идут!
frankie.n_no_aaaargh	Н-н-нет! ААААРГХ!
zombie.braaains	Мозгии...?
name.zombie	Зомби
jo.spawn_last_call_boys	Последний заказ, парни...
jo.death_closing_time	Закры... ваемся...
beast.spawn_meleeee_pleeeease	Мяяяса... пожааалуйста...
beast.death_no_oohb	Нет... уугх...
general.spawn_mmmmaggots	Черррви...
general.death_hhhhheck	Чёёёрт...
santana.spawn_one_more_round_johnny	Еще по одной, Джонни!
santana.death_cant_win_em_all	Угх... всех не победить...
deadsanta.spawn_ho_ho_ho	Хо хо хо!
deadsanta.death_ho_ohhhh	Хо оооо...
deadfrankie.spawn_guess_whos_back_bastards	Угадайте, кто вернулся, ублюдки!
deadfrankie.death_not_again	Только не снова...
theflame.spawn_flame_burn	ПЛАМЯ ЖГИ!!!
theflame.death_no_more_burn	Больше не горит...
deadcowboy.spawn_move_em_on_head_em_up	Гони их, собирай их...
deadcowboy.death_count_em_in_ride_em	Считай их, скачи... уф!
deadninja.spawn_tatakai	Татакаи...
deadninja.death_haji	Х-х-хаджи...
