key	translation
1.popup.intro	En algún lugar de Sunny City\n20XX
1.diag.radio.rise	¡Arriba y a brillar, superluchadores! ¡Hay trabajo por hacer!
1.diag.radio.feel	¿Un poco desorientado? ¡No te preocupes!
1.diag.radio.relax	Solo relájate y haz lo que te salga natural.
1.diag.radio.hf	...¡y recuerda: QUE TE DIVIERTAS!
1.name.radio	Voz del Altavoz
1.diag.radio.gj	¡Buen trabajo! ¡Pero ahora empieza la pelea de verdad!
1.diag.thug.kill	¡Mátenlos a todos!
1.diag.radio.final	¡Buen trabajo! Tómate un respiro antes del próximo desafío.
2.diag.meatgrinder.intro	Juju juju...
2.diag.grunt.react	¡¿Qué demonios?! ¡¿QUÉ DEMONIOS?!
2.diag.meatgrinder.intro2	¡23 muertes más y tendré mi propio programa de cocina!
2.diag.funnyman.intro1	Damas y caballeros, ¿podrían dar la bienvenida al escenario a...
2.diag.funnyman.intro2	...¡LOS SUPERLUCHADORES!
2.diag.funnyman.intro3	¡Buen trabajo ahí fuera! ¡Sí que les diste duro a esos gamberros!
2.diag.funnyman.intro4	Ahora toca un merecido descanso. ¡Dulces sueños!
2.diag.funnyman.intro5	¡Eso es todo, amigos! PERO no olviden sintonizar mañana, que es cuando empieza la pelea DE VERDAD.
3.diag.grunt.intro	¡No pueden tratarnos así!
3.diag.metro.intro.1	¿Ah, sí, saco de carne?
3.diag.metro.intro.2	¡Vamos, sacos de carne! ¡Es la hora del espectáculo!
3.diag.metro.intro.3	¡La hora del show!\n¡Je je!
3.diag.metro.intro.4	¡Vamos! El espectáculo está empezando, ¡y tú eres la gran estrella!
3.diag.metro.intro.5	¡Gran estrella!\n¡Je je!
3.diag.metro.intro.6	No querrás acabar como estos pobres desgraciados. Parece que les dio miedo escénico, ¡je je!
3.diag.metro.intro.7	¡Miedo escénico!\n¡Je je!
3.diag.metro.intro.8	¡Vamos! ¡El público no muerde! ¡Je je!
3.diag.metro.intro.9	¡No muerde!\n¡Je je!
3.diag.metro.intro.10	¡Bien, listillo, esta es tu última advertencia! Voy a contar hasta diez, ¡y más vale que te largues antes de que termine!
3.diag.metro.intro.11	¡Terminado!\n¡Je je!
3.diag.metro.intro.countdown.1	¡Uno!
3.diag.metro.intro.countdown.2	¡Dos!
3.diag.metro.intro.countdown.3	¡Tres!
3.diag.metro.intro.countdown.4	¡Tres!\n¡Je!
3.diag.metro.intro.countdown.5	¡Cinco!
3.diag.metro.intro.countdown.6	¡Siete, ocho!
3.diag.metro.intro.countdown.7	¡Je je!
3.diag.metro.intro.countdown.8	¡Nueve!
3.diag.metro.intro.countdown.9	¡Vaya!
3.diag.metro.intro.countdown.10	¡DIEZ!
3.diag.metro.intro.countdown.11	¡JE JE JE!
3.diag.funnyman.intro.1	¡Ha llegado el momento, damas y caballeros, de la esperadísima final de temporada de Superfighters Live!
3.diag.funnyman.intro.2	¡Esta vez sin cazadores, solo la flor y nata: superluchadores vitaminados y sedientos de sangre, ¡directos de los tanques!
3.diag.funnyman.intro.3	¿Qué equipo saldrá victorioso del Foso? ¡Vamos a averiguarlo!
3.diag.funnyman.intro.4	¡Que empiece la pelea!
3.diag.funnyman.brawl.1	¡Vaya paliza! Damas y caballeros...
3.diag.funnyman.brawl.2	¡El Equipo Azul es el vencedor!
3.diag.funnyman.brawl.3	Ahora, ¡veamos cómo se las apañan con potencia de verdad! Es hora de...
3.diag.funnyman.brawl.4	...¡LA ÚLTIMA BATALLA!
3.diag.tech	¡Esto lo arreglará!
3.diag.funnyman.exit.1	¿Qué...?!
3.diag.funnyman.grunt	Eh... ¿jefe?
3.diag.funnyman.exit.2	¡Idiotas! Si ese cristal no hubiera sido perfectamente indestructible...
3.diag.funnyman.exit.3	¡Eh, todo parte del espectáculo, amigos! ¡Volvemos enseguida después de estos mensajes!
3.diag.funnyman.brawl.5	¡Increíble! ¡El Equipo Azul sigue en pie! ¡Que siga la fiesta!
3.diag.funnyman.exit.4	¡Guardias! ¡DETÉNGANLOS!
4.diag.funnyman.intro.1	¿Por qué los superluchadores no pueden simplemente seguir las reglas?
4.diag.funnyman.intro.2	¡Tengo una buena carrera y no voy a dejar que unos idiotas de laboratorio me la arruinen!
4.diag.funnyman.intro.3	¡¡¡NO VOY A VOLVER A LA HORA INFANTIL!!!
4.diag.funnyman.hurt.1	¡Eso DOLIÓ! ¡Voy a disfrutar matándote!
4.diag.funnyman.hurt.2	¡Malditos desagradecidos! ¿Qué harían sin nosotros?
4.diag.funnyman.hurt.3	¡Eras una ESTRELLA! ¡Le dabas al público lo que quería! ¡Sin eso, qué eres? ¡Solo juguetes rotos e inútiles!
4.diag.funnyman.hurt.4	¿No ven que hacemos un servicio público? ¡Mantenemos el orden! ¡Sin Superluchadores, habría CAOS!
4.diag.funnyman.hurt.5	Matarme no cambiará nada. Solo soy la fachada... el tipo del traje elegante. Puedo ser reemplazado... ¡pero no dejaré que pase!
4.diag.funnyman.hurt.6	¿Qué intentan hacer? ¡Aunque destruyan el programa, no pueden hacer volar todo el estudio!
4.diag.funnyman.hurt.7	¡Vienen más soldados! ¡Están atrapados aquí! ¡Más les vale rendirse!
4.diag.funnyman.death.1	¡No... han... ganado!...
4.diag.funnyman.death.2	Ugh... todos son críticos...
4.diag.funnyman.death.3	Telón... abajo...
4.diag.speaker	Entendido, alfa 3. Todas las unidades desplegadas, nos acercamos al objetivo.
5.name.pilot	Piloto
5.diag.pilot.1	¡Nos están alcanzando!
5.diag.pilot.2	¡Maldición!
5.diag.pilot.3	¡Nos retiramos!
5.diag.pilot.4	¡Argh!
5.diag.pilot.5	¡Yo no me apunté para esto!
5.diag.pilot.6	¡¿Qué demonios fue eso?!
5.name.shadow	Figura sombría
5.diag.shadow.top.1	Vienen más soldados. Será mejor que sigas moviéndote.
5.diag.shadow.top.2	No hay salida más que hacia arriba.
5.diag.shadow.top.3	Se te acaba el tiempo. Ya vienen.
5.diag.shadow.top.4	Se está haciendo tarde.
5.diag.shadow.top.5	Esta es tu parada.
5.diag.shadow.brief.1	¿Noche dura, eh?
5.diag.shadow.brief.2	Seguro que te das cuenta de que no vas a salir de este edificio. Todas las salidas están cortadas y vienen más soldados.
5.diag.shadow.brief.3	Pero supongamos que alguien derribara la torre de transmisión. Supongamos que alguien cortara la señal...
5.diag.shadow.brief.4	¿Qué haría la gente, me pregunto, sin su preciado entretenimiento?
5.diag.shadow.brief.5	Es algo sobre lo que reflexionar, supongo.
2.diag.thug.kill	¡Recuerden - ellos o nosotros!
2.diag.grunt.intro	¡Ahí están - ábrenles fuego!
2.diag.meatgrinder.hurt	¡JUA JUA JUA!
3.diag.funnyman.exit.5	¡Están acabados, superluchadores! ¡Nunca volverán a trabajar en esta ciudad!
5.diag.kid.1	¡Extra, extra! ¡Estudio de TV en ruinas! ¡Amado presentador presuntamente muerto! ¡Programa número uno cancelado indefinidamente! ¡Léanlo todo! ¡Solo en el Sunny City Times!
5.diag.agent.1	¿Cuerpos?
5.diag.general.1	Ninguno encontrado, señor. La torre misma cayó sobre tres manzanas. Las unidades están en camino. Es un maldito desastre, señor.
5.diag.general.2	Espero por tu bien que... ASEGURES los cuerpos. Hay muchos que querrían poner sus manos sobre esos especímenes.
5.diag.agent.2	Oooooh.\n...Sí, supongo que sí.
5.diag.general.3	No de ESA manera, sargento.
