key	translation
bgspeaker.ladies_gentlemen_heating_up_sftv	¡Damas y caballeros, las cosas se están poniendo intensas aquí en los estudios de SFTV!
name.the_funnyman	Funnyman
bgspeaker.team_blue_on_fire_real_firepower	¡El Equipo Azul está que ARDE esta noche! ¡Pero veamos cómo manejan algo de auténtica artillería pesada! Es hora de...
bgspeaker.the_last_stand	¡LA ÚLTIMA BATALLA!
funnyman.amazing	¡Asombroso!
funnyman.did_you_see_that_incredible	¡¿Lo vieron, gente en casa?! ¡Increíble!
funnyman.wow	¡Guau!
funnyman.unbelievable	¡Increíble!
funnyman.oooo_nasty	¡Uuuuy, qué feo!
funnyman.another_one_bites_the_dust	¡Otro que muerde el polvo, damas y caballeros!
funnyman.oof_thats_gotta_hurt	¡Uf, eso debió doler!
funnyman.aha_challenger_approaches	¡Ajá! ¡Se acerca un retador!
funnyman.look_out_team_blue_danger	¡Cuidado, Equipo Azul! ¡Peligro, peligro!
funnyman.fine_work_break	¡Buen trabajo! No se vayan, es hora de un descanso.
funnyman.fine_work_team_blue_right_back	¡Buen trabajo, Equipo Azul! ¡Ya volvemos!
funnyman.team_blue_lives_another_day_commercials	¡El Equipo Azul vive para pelear otro día! ¡Ya volvemos. ¡Comerciales!
funnyman.team_blue_wins_sponsors	¡El Equipo Azul gana de nuevo! ¡Volvemos tras unas palabras de nuestros patrocinadores!
funnyman.team_blue_unstoppable_right_back	¡El Equipo Azul es imparable! ¡Ya volvemos!
funnyman.beautiful_more_after_break	¡Hermoso! ¡Volveremos con más del Equipo Azul tras la pausa!
funnyman.quality_entertainment_dont_change_channel	¡Eso sí es entretenimiento! ¡No cambien de canal, ya volvemos!
funnyman.what_a_show_right_back	¡Damas y caballeros, qué espectáculo! ¡Ya volvemos!
funnyman.boom_dont_touch_switch	¡Bum! ¡No toquen ese botón, ya volvemos!
funnyman.dont_go_anywhere_messages	¡No se vayan, volvemos tras estos mensajes!
funnyman.team_blue_doesnt_disappoint_stick_around	¡El Equipo Azul no decepciona! ¡Quédense, ya volvemos!
funnyman.will_team_blue_ever_be_bested	¿Será que el Equipo Azul será derrotado algún día? ¡Descúbranlo tras estos mensajes!
funnyman.team_blue_wins_how_long_luck_last	¡El Equipo Azul gana de nuevo! Pero ¿cuánto les durará la suerte? ¡Sigan atentos!
funnyman.thats_what_its_all_about_messages	¡De eso se trata! ¡Volvemos tras estos mensajes!
funnyman.fantastic_more_after_break	¡Fantástico! ¡Más del Equipo Azul tras la pausa. ¡No se vayan!
funnyman.whew_team_blue_goner_stick_around	¡Uf, creí que el Equipo Azul estaba acabado! ¡Quédense, ya volvemos!
funnyman.all_for_tonight_give_it_up	¡Eso es todo por esta noche! ¡Un aplauso una vez más para el Equipo Azul!
funnyman.thats_it_for_team_blue	¡Se acabó para el Equipo Azul, damas y caballeros!
funnyman.glorious_end_give_it_up	¡Un final glorioso! ¡Un aplauso para el Equipo Azul, damas y caballeros!
funnyman.team_blue_bites_dust_at_last	¡El Equipo Azul muerde el polvo al fin!
funnyman.bad_luck_long_good_run	¡Mala suerte, Equipo Azul! ¡Tuvieron una buena racha!
funnyman.thats_team_blue_what_a_show	¡Y ese fue el Equipo Azul, damas y caballeros! ¡Qué espectáculo!
