key	translation
frankie.heeelp_is_someone_in_there	Socorro! Tem alguém aí dentro?!
frankie.oh_god_theyre_coming	Meu Deus, estão vindo!
frankie.n_no_aaaargh	N-n-não! AAAAARGH!
zombie.braaains	Cérebros...?
name.zombie	Zumbi
jo.spawn_last_call_boys	Última chamada, rapazes...
jo.death_closing_time	Hora... de fechar...
beast.spawn_meleeee_pleeeease	Carne... por favooor...
beast.death_no_oohb	Não... uuugh...
general.spawn_mmmmaggots	Vermeees...
general.death_hhhhheck	Daneeemos...
santana.spawn_one_more_round_johnny	Mais uma rodada, Johnny!
santana.death_cant_win_em_all	Ugh... não dá pra ganhar todas...
deadsanta.spawn_ho_ho_ho	Ho ho ho!
deadsanta.death_ho_ohhhh	Ho ooooh...
deadfrankie.spawn_guess_whos_back_bastards	Adivinhem quem voltou, desgraçados!
deadfrankie.death_not_again	De novo não...
theflame.spawn_flame_burn	CHAMA QUEIMA!!!
theflame.death_no_more_burn	Sem mais fogo...
deadcowboy.spawn_move_em_on_head_em_up	Toquem, reúnam...
deadcowboy.death_count_em_in_ride_em	Contem, cavalguem... ufa!
deadninja.spawn_tatakai	Tatakai...
deadninja.death_haji	H-h-haji...
