key	translation
ss_officer.good_evening_fritzliebe_ueberkaempfer_project	Добрый вечер, доктор Фрицлибе! Как продвигается проект Уберкемпфер?
fritzliebe.excellently_formula_fuehrer_unstoppable_army	Превосходно, герр штурмбаннфюрер! Пленники отлично реагируют на формулу. Скоро у фюрера будет непобедимая армия!
ss_officer.whats_that_doctor	Что это, доктор?
fritzliebe.i_said_heil_hitler	Я сказал, ХАЙЛЬ ГИТЛЕР!
ss_officer.heil_hitler	ХАЙЛЬ ГИТЛЕР!
ss_officer.verdammt_allied_air_strike	Черт! Воздушный налет союзников!
fritzliebe.soon_fuehrer_cower_before_fritzliebe	(И скоро сам фюрер будет дрожать перед Фрицлибе! Ха-ха!)
nazi_scientist.mein_gott_stop_them	Боже мой! Остановите их!
fritzliebe.fear_not_antiaircraft_deal_shortly	Не бойтесь! Моя зенитная система скоро с ними разберется!
fritzliebe.old_cellars_poor_condition_raus	И все же... эти старые подвалы в плохом состоянии. Вон!!
popup.castle_sonnenfreude_austria_december_1943	Замок Зонненфройде\nГде-то в Австрии\nДекабрь 1943
ss_officer.again_from_top_more_feeling	Снова, с начала! И с большим чувством!
name.ss_officer	Офицер СС
ss_officer.nein_too_late_again	Нет, нет, нет! Опять опаздываете!
chorus.o_tannenbaum_treu_blaetter	O Tannenbaum, o Tannenbaum,\nwie treu sind deine Blätter!
name.chorus	Хор
chorus.du_gruenst_nicht_nur_sommerzeit_winter_schneit	Du grünst nicht nur zur Sommerzeit,\nNein auch im Winter, wenn es schneit!
ss_officer.verdammt_wo_ist_der_aufzug	Черт! Где лифт?
ss_officer.das_ist_unfair	Это несправедливо!
nazi_soldier.nein_weihnachtsbaum_nicht_zerstoeren	НЕТ! Не смей трогать рождественскую елку!
zombie.attentaten	Покушение!!!
bgspeaker.biochemie_specialty_true	БИОХИМИЯ — моя специальность, это правда...
name.dr_fritzliebe	Д-р Фрицлибе
fritzliebe.mechanische_advancements_show_you	...но у меня есть и много МЕХАНИЧЕСКИХ достижений!
fritzliebe.ha_ve_shall_see	Ха! Посмотрим!
fritzliebe.impudent_fools	Наглецы!
fritzliebe.cough_schweinhunden_killed_not_escape_alive	*кашляет* Аррргх... Швайнхунде! Вы убили меня... но живыми вы отсюда не уйдете!
fritzliebe.die_now	Умри!
lt_kowalski.there_she_goes_mission_accomplished	Вот и все, парни. Миссия выполнена.
us_soldier.someones_coming_out_sir	Кто-то выходит, сэр!
lt_kowalski.nevermind_orders_get_you_out	Неважно, потом расскажешь. Мой приказ — вытащить вас отсюда к чертям!
lt_kowalski.if_what_heard_win_this_war	Если то, что я слышал, правда, вы как раз то, что нужно, чтобы выиграть войну...
bgdoor.roar_rarrr	РРРРРРРР!!!
name.kriegbar_2	Кригбэр #2
kriegbar.hnnnarrr	ХНННАРРРР!!!
fritzliebe.my_children_killed_poor_kriegbar_2	Ах, дети мои... вы убили бедного Кригбэра #2.
