key	translation
bgspeaker.ladies_gentlemen_heating_up_sftv	¡Damas y caballeros, la cosa se está calentando aquí en los estudios de SFTV!
name.the_funnyman	El Bromista
bgspeaker.team_blue_on_fire_real_firepower	¡El Equipo Azul está que ARDE esta noche! ¡Pero veamos cómo se las arreglan con fuego de verdad! ¡Es hora de...
bgspeaker.the_last_stand	...¡LA ÚLTIMA BATALLA!
funnyman.amazing	¡Asombroso!
funnyman.did_you_see_that_incredible	¡¿Lo habéis visto, gente de casa?! ¡Increíble!
funnyman.wow	¡Guau!
funnyman.unbelievable	¡Increíble!
funnyman.oooo_nasty	¡Uuuuh, qué daño!
funnyman.another_one_bites_the_dust	¡Otro que muerde el polvo, damas y caballeros!
funnyman.oof_thats_gotta_hurt	¡Uf, eso tiene que doler!
funnyman.aha_challenger_approaches	¡Ajá! ¡Se acerca un aspirante!
funnyman.look_out_team_blue_danger	¡Cuidado, Equipo Azul! ¡Peligro, peligro!
funnyman.fine_work_break	¡Buen trabajo! No os vayáis, gente, es hora de un descanso.
funnyman.fine_work_team_blue_right_back	¡Buen trabajo, Equipo Azul! ¡Volvemos enseguida!
funnyman.team_blue_lives_another_day_commercials	¡El Equipo Azul vive para luchar otro día! ¡Volvemos enseguida, gente. ¡Anuncios!
funnyman.team_blue_wins_sponsors	¡El Equipo Azul gana otra vez! ¡Volvemos tras unas palabras de nuestros patrocinadores!
funnyman.team_blue_unstoppable_right_back	¡El Equipo Azul es imparable! ¡Volvemos enseguida!
funnyman.beautiful_more_after_break	¡Precioso! ¡Volveremos con más Equipo Azul tras la pausa!
funnyman.quality_entertainment_dont_change_channel	¡Eso sí que es entretenimiento, gente! ¡No cambiéis de canal, volvemos enseguida!
funnyman.what_a_show_right_back	¡Damas y caballeros, qué espectáculo! ¡Volvemos enseguida!
funnyman.boom_dont_touch_switch	¡Bum! ¡No toquéis ese botón, gente, volvemos enseguida!
funnyman.dont_go_anywhere_messages	¡No os vayáis, gente, volvemos tras estos mensajes!
funnyman.team_blue_doesnt_disappoint_stick_around	¡El Equipo Azul no decepciona! ¡Quedaos, volvemos enseguida!
funnyman.will_team_blue_ever_be_bested	¿Será el Equipo Azul derrotado alguna vez? ¡Descubridlo tras estos mensajes!
funnyman.team_blue_wins_how_long_luck_last	¡El Equipo Azul gana otra vez! Pero ¿cuánto durará su suerte? ¡Seguid atentos y lo descubriréis!
funnyman.thats_what_its_all_about_messages	¡De eso se trata! ¡Volvemos tras estos mensajes!
funnyman.fantastic_more_after_break	¡Fantástico! ¡Más Equipo Azul tras la pausa. No os vayáis!
funnyman.whew_team_blue_goner_stick_around	¡Uf, creí que el Equipo Azul estaba acabado! ¡Quedaos, gente, volvemos enseguida!
funnyman.all_for_tonight_give_it_up	¡Eso es todo por esta noche, gente! ¡Un aplauso una vez más para el Equipo Azul!
funnyman.thats_it_for_team_blue	¡Se acabó para el Equipo Azul, damas y caballeros!
funnyman.glorious_end_give_it_up	¡Un final glorioso! ¡Un aplauso para el Equipo Azul, damas y caballeros!
funnyman.team_blue_bites_dust_at_last	¡El Equipo Azul muerde el polvo por fin!
funnyman.bad_luck_long_good_run	¡Mala suerte, Equipo Azul! ¡Habéis tenido una buena racha!
funnyman.thats_team_blue_what_a_show	¡Y ese es el Equipo Azul, damas y caballeros! ¡Qué espectáculo!
