key	translation
diag.mcbride.fellow.officer.scpd.take.over	Sus hombres deberían aprender a no apuntar con sus armas a un colega. Somos los detectives McBride y Santana, SCPD. Nos encargamos nosotros.
diag.metro.cuff.meatbags.before.wake	Vale, chicos, esposad a estos sacos de carne rápido antes de que despierten.
diag.metro.scram.meatbags.government.property	¡Largaos, mindundis! Estos son los sacos de carne que volaron la emisora de TV. Son propiedad del gobierno.
diag.mcbride.scpd.precinct.proper.channels	Ah, pero esto sigue siendo una comisaría de SCPD. Lo siento, agente. Si quiere su premio, tendrá que seguir los cauces oficiales.
diag.metro.coppers.history.metrolaw.future	¡Esto no ha terminado, maderos! ¡Estáis acabados! ¡MetroLaw es el futuro!
diag.mcbride.cuff.santana.downtown	Ayúdame a esposarlos, Santana. Nos vamos a la comisaría.
diag.santana.commissioner.loose.cannon	Empiezo a pensar que el comisario tiene razón... ¡Eres una bala perdida, Johnny!
diag.speaker.surrounded.metrolaw.care	¡Atención, superluchadores! ¡Están rodeados! Ríndanse ahora y recibirán el premiado cuidado profesional de MetroLaw...
name.speaker.voice	Voz del Altavoz
diag.speaker.charged.damage.buildings	De lo contrario, se les cobrará íntegramente cualquier daño adicional a edificios de importancia cultural durante su arresto...
diag.speaker.terms.conditions.arrest	Al resistirse al arresto, aceptan los términos y condiciones tal como los he presentado. De acuerdo sargento, puede proceder con el arresto.
diag.metro.buh.what	¡¿C-cómo QUÉ?!
