key	translation
detective_mcbride.men_should_learn_not_point_guns_fellow_officer	Sus hombres deberían aprender a no apuntar con sus armas a un compañero de la ley. Somos los detectives McBride y Santana, del SCPD. A partir de ahora, esto es asunto nuestro.
metrolaw.cuff_meatbags_before_wake_up	Muy bien, muchachos, esposen a estos sacos de carne rápido antes de que despierten.
metrolaw.scram_small_timers_government_property	¡Lárguense, aficionados! Estos son los sacos de carne que volaron la estación de televisión. Son propiedad del gobierno.
detective_santana.still_scpd_precinct_proper_channels	Ah, pero esto sigue siendo jurisdicción de la SCPD. Lo siento, oficial. Si quiere su premio, tendrá que seguir los trámites correspondientes.
metrolaw.this_isnt_over_coppers_history_future	¡Esto no ha terminado, policías! ¡Ustedes ya son historia! ¡MetroLaw es el futuro!
detective_mcbride.help_me_cuff_em_downtown	Ayúdame a esposarlos, Santana. Nos vamos a la central.
detective_santana.commissioner_right_loose_cannon_johnny	Estoy empezando a creer que el comisionado tiene razón... ¡Eres un cañón suelto, Johnny!
helicopter.attention_superfighters_surrounded_award_care	¡Atención, superluchadores! ¡Están rodeados! Ríndanse ahora y recibirán el cuidado profesional galardonado de MetroLaw...
name.speaker_voice	Voz del Altavoz
helicopter.otherwise_charged_for_damage_culturally_significant	De lo contrario, se les cobrará en su totalidad cualquier daño adicional a edificios de importancia cultural durante su arresto...
helicopter.by_resisting_arrest_terms_conditions_proceed	Al resistirse al arresto, aceptan los términos y condiciones tal como los he presentado. De acuerdo, sargento, puede proceder con el arresto.
metrolaw.b_buh_what	¡P-pero QUÉ!
