original	key	kind
Heeelp! Is someone in there?!	frankie.heeelp_is_someone_in_there	dialogue-text
Oh god, they're coming!	frankie.oh_god_theyre_coming	dialogue-text
N-n-no! AAAAARGH!	frankie.n_no_aaaargh	dialogue-text
Braaaaains...?	zombie.braaains	dialogue-text
Zombie	name.zombie	dialogue-name
Last call, boys...	jo.spawn_last_call_boys	dialogue-text
Closing... time...	jo.death_closing_time	dialogue-text
Meleeee... pleeeease...	beast.spawn_meleeee_pleeeease	dialogue-text
No... oohb...	beast.death_no_oohb	dialogue-text
Mmmmaggots...	general.spawn_mmmmaggots	dialogue-text
Hhhhheck...	general.death_hhhhheck	dialogue-text
One more round, Johnny!	santana.spawn_one_more_round_johnny	dialogue-text
Ugh... can't w-win 'em all..	santana.death_cant_win_em_all	dialogue-text
Ho ho ho!	deadsanta.spawn_ho_ho_ho	dialogue-text
Ho ohhhh...	deadsanta.death_ho_ohhhh	dialogue-text
Guess who's back, you bastards!	deadfrankie.spawn_guess_whos_back_bastards	dialogue-text
Not again...	deadfrankie.death_not_again	dialogue-text
FLAME BURN!!!	theflame.spawn_flame_burn	dialogue-text
No more burn...	theflame.death_no_more_burn	dialogue-text
Move 'em on, head 'em up...	deadcowboy.spawn_move_em_on_head_em_up	dialogue-text
Count 'em in, ride 'em... oof!	deadcowboy.death_count_em_in_ride_em	dialogue-text
Tatakai...	deadninja.spawn_tatakai	dialogue-text
H-h-haji... 	deadninja.death_haji	dialogue-text
