key	translation
frankie.heeelp_is_someone_in_there	¡Ayudaaa! ¡¿Hay alguien ahí dentro?!
frankie.oh_god_theyre_coming	¡Oh, Dios, ya vienen!
frankie.n_no_aaaargh	¡N-n-no! ¡¡¡AAAAARGH!!!
zombie.braaains	¿Cerebros...?
name.zombie	Zombi
jo.spawn_last_call_boys	Última ronda, muchachos...
jo.death_closing_time	Hora... de cerrar...
beast.spawn_meleeee_pleeeease	Carne... por favooor...
beast.death_no_oohb	No... uuugh...
general.spawn_mmmmaggots	Guuusanos...
general.death_hhhhheck	Dieeemonios...
santana.spawn_one_more_round_johnny	¡Una ronda más, Johnny!
santana.death_cant_win_em_all	Uf... no siempre se gana...
deadsanta.spawn_ho_ho_ho	¡Jo jo jo!
deadsanta.death_ho_ohhhh	Jo ooooh...
deadfrankie.spawn_guess_whos_back_bastards	¡Adivinen quién volvió, bastardos!
deadfrankie.death_not_again	Otra vez no...
theflame.spawn_flame_burn	¡¡¡LLAMA, QUEMA!!!
theflame.death_no_more_burn	No más fuego...
deadcowboy.spawn_move_em_on_head_em_up	¡Arreen, júntenlos...
deadcowboy.death_count_em_in_ride_em	Cuéntenlos, cabalguen... ¡uf!
deadninja.spawn_tatakai	Tatakai...
deadninja.death_haji	H-h-haji...
