key	translation
detective_mcbride.men_should_learn_not_point_guns_fellow_officer	Вашим людям стоит научиться не направлять пушки на fellow офицера. Мы детективы Макбрайд и Сантана, SCPD. Дальше мы сами.
metrolaw.cuff_meatbags_before_wake_up	Ладно, парни, быстро наденьте наручники на эти мешки с мясом, пока не очнулись.
metrolaw.scram_small_timers_government_property	Проваливайте, мелюзга! Эти мешки с мясом взорвали телестанцию. Они — собственность правительства.
detective_santana.still_scpd_precinct_proper_channels	Но это все еще участок SCPD. Извините, офицер. Если хотите свой приз, идите по всем инстанциям.
metrolaw.this_isnt_over_coppers_history_future	Это еще не конец, легавые! Вам конец! Будущее за MetroLaw!
detective_mcbride.help_me_cuff_em_downtown	Помоги их заковать, Сантана. Едем в участок.
detective_santana.commissioner_right_loose_cannon_johnny	Начинаю думать, что комиссар прав... Ты неуправляемый, Джонни!
helicopter.attention_superfighters_surrounded_award_care	Внимание, супербойцы! Вы окружены! Сдавайтесь сейчас, и получите фирменный первоклассный уход от MetroLaw...
name.speaker_voice	Динамик
helicopter.otherwise_charged_for_damage_culturally_significant	В противном случае с вас в полном объеме взыщут ущерб за любые дальнейшие повреждения культурно значимых зданий при задержании...
helicopter.by_resisting_arrest_terms_conditions_proceed	Оказывая сопротивление аресту, вы принимаете мои условия, как я их изложил. Ладно, сержант, приступайте к задержанию.
metrolaw.b_buh_what	Ч-что?!
