key	translation
bgspeaker.rise_and_shine_superfighters_work_to_do	Acorde, superlutadores! Há trabalho a fazer!
name.speaker_voice	Alto-falante
bgspeaker.feeling_disoriented_dont_worry	Se sentindo desorientado? Não se preocupe!
bgspeaker.relax_do_whatever_natural	Só relaxe e faça o que vier naturalmente.
punk.remember_them_or_us	Lembrem-se – são eles ou nós!
bgspeaker.remember_have_fun	...e lembrem-se: DIVIRTAM-SE!
bgspeaker.good_job_real_fight_begins	Bom trabalho! Mas agora começa a luta de verdade!
punk.kill_em_all	Matem todos!
bgspeaker.fine_work_breather_next_challenge	Bom trabalho! Respira um pouco antes do próximo desafio.
popup.somewhere_in_sunny_city_20xx	Em algum lugar de Sunny City\n20XX
meatgrinder.23_more_kills_cooking_show	Mais 23 mortes e ganho meu próprio programa de culinária!
punk.there_blast_em	Lá – acabem com eles!
announcer.ladies_gentlemen_welcome_to_stage	Senhoras e senhores, poderiam dar as boas-vindas ao palco para...
announcer.the_superfighters	...OS SUPERLUTADORES!
funnyman.good_job_handled_those_punks	Bom trabalho lá fora! Você lidou bem com aqueles punks!
funnyman.well_earned_rest_sweet_dreams	Agora é hora de um descanso merecido. Bons sonhos!
funnyman.thats_all_folks_tune_tomorrow_real_fight	É isso, pessoal! MAS não esqueçam de assistir amanhã – é quando a luta DE VERDADE começa.
punk.what_the_hell	Que diabos! QUE DIABOS!
meatgrinder.hurr_hurr	Hurr hurr hurr...
funnyman.what_the	O que...!?
worker.thisll_fix_it	Isso vai consertar!
funnyman.all_part_of_show_right_back_messages	Calma, tudo faz parte do show, pessoal! Voltamos já após estes comerciais!
bgspeaker.guards_stop_them	Guardas! PAREM-NOS!
name.funnyman	Fanfarrão
funnyman.finished_superfighters_never_work_again	Vocês estão acabados, superlutadores! Nunca mais vão trabalhar nesta cidade!
funnyman.season_finale_superfighters_live	Chegou a hora, senhoras e senhores, do tão esperado final de temporada de Superfighters Live!
funnyman.which_team_victorious_in_pit	Qual time vencerá no Poço? Hora de descobrir!
funnyman.no_hunters_cream_crop_fishtanks	Desta vez sem caçadores – só a nata: superlutadores bombados e malucos, direto dos tanques!
funnyman.let_fight_begin	Que comece a luta!
funnyman.what_a_brawl_ladies_gentlemen	Que briga! Senhoras e senhores –
funnyman.team_blue_victorious	O Time Azul venceu!
