key	translation
detective_mcbride.men_should_learn_not_point_guns_fellow_officer	Sus hombres deberían aprender a no apuntar con sus armas a un compañero. Somos los detectives McBride y Santana, del SCPD. Nosotros nos encargamos.
metrolaw.cuff_meatbags_before_wake_up	Muy bien, chicos, esposen rápido a estos sacos de carne antes de que despierten.
metrolaw.scram_small_timers_government_property	¡Largo, aficionados! Estos son los sacos de carne que volaron la estación de TV. Son propiedad del gobierno.
detective_santana.still_scpd_precinct_proper_channels	Ah, pero esta sigue siendo una comisaría del SCPD. Lo siento, oficial. Si quiere su premio, tendrá que seguir los canales adecuados.
metrolaw.this_isnt_over_coppers_history_future	¡Esto no ha terminado, maderos! ¡Estáis acabados! ¡MetroLaw es el futuro!
detective_mcbride.help_me_cuff_em_downtown	Ayúdame a esposarlos, Santana. Nos vamos a la central.
detective_santana.commissioner_right_loose_cannon_johnny	Empiezo a pensar que el comisario tiene razón... ¡Eres un arma descontrolada, Johnny!
helicopter.attention_superfighters_surrounded_award_care	¡Atención, superluchadores! ¡Estáis rodeados! ¡Ríndanse ahora y recibirán el premiado cuidado profesional de MetroLaw...
name.speaker_voice	Voz del Altavoz
helicopter.otherwise_charged_for_damage_culturally_significant	De lo contrario, se les cobrará por completo cualquier daño adicional a edificios de valor cultural durante su arresto...
helicopter.by_resisting_arrest_terms_conditions_proceed	Al resistirse al arresto, acepta los términos y condiciones tal como se los he presentado. De acuerdo, sargento, puede proceder con el arresto.
metrolaw.b_buh_what	¡P-pero QUÉ!
