key	translation
detective_mcbride.men_should_learn_not_point_guns_fellow_officer	Seus homens deviam aprender a não apontar armas para um colega. Somos os detetives McBride e Santana, SCPD. Assumimos daqui.
metrolaw.cuff_meatbags_before_wake_up	Tudo bem, rapazes, algemem esses sacos de carne rápido antes que acordem.
metrolaw.scram_small_timers_government_property	Fora, amadores! Esses são os sacos de carne que explodiram a estação de TV. São propriedade do governo.
detective_santana.still_scpd_precinct_proper_channels	Ah, mas este ainda é um distrito da SCPD. Desculpe, oficial. Se quer seu prêmio, siga os canais adequados.
metrolaw.this_isnt_over_coppers_history_future	Isso ainda não acabou, tiras! Vocês estão acabados! MetroLaw é o futuro!
detective_mcbride.help_me_cuff_em_downtown	Me ajuda a algemá-los, Santana. Vamos para a delegacia.
detective_santana.commissioner_right_loose_cannon_johnny	Começo a achar que o comissário tem razão... Você é descontrolado, Johnny!
helicopter.attention_superfighters_surrounded_award_care	Atenção, superlutadores! Vocês estão cercados! Rendam-se agora e receberão o premiado cuidado profissional da MetroLaw...
name.speaker_voice	Alto-falante
helicopter.otherwise_charged_for_damage_culturally_significant	Caso contrário, vocês serão cobrados integralmente por qualquer dano adicional a prédios culturais durante sua prisão...
helicopter.by_resisting_arrest_terms_conditions_proceed	Ao resistir à prisão, você aceita os termos e condições como apresentados. Ok sargento, pode prosseguir com a prisão.
metrolaw.b_buh_what	Q-que... QUÊ!
