key	translation
bgspeaker.rise_and_shine_superfighters_work_to_do	¡Levántense y brillen, superluchadores! ¡Hay trabajo que hacer!
name.speaker_voice	Voz del Altavoz
bgspeaker.feeling_disoriented_dont_worry	¿Un poco desorientado? ¡No te preocupes!
bgspeaker.relax_do_whatever_natural	Solo relájate y haz lo que te salga natural.
punk.remember_them_or_us	¡Recuerden, son ellos o nosotros!
bgspeaker.remember_have_fun	...y recuerden: ¡DÍVÉRTANSE!
bgspeaker.good_job_real_fight_begins	¡Buen trabajo! ¡Pero ahora comienza la verdadera pelea!
punk.kill_em_all	¡Mátenlos a todos!
bgspeaker.fine_work_breather_next_challenge	¡Excelente trabajo! Tomen un respiro antes de su próximo desafío.
popup.somewhere_in_sunny_city_20xx	En algún lugar de Sunny City\n20XX
meatgrinder.23_more_kills_cooking_show	¡23 muertes más y yo tener programa de cocina propio!
punk.there_blast_em	¡Ahí! ¡Acaben con ellos!
announcer.ladies_gentlemen_welcome_to_stage	Damas y caballeros, reciban por favor en el escenario a...
announcer.the_superfighters	¡LOS SUPERLUCHADORES!
funnyman.good_job_handled_those_punks	¡Buen trabajo ahí fuera! ¡Qué paliza les dieron a esos matones!
funnyman.well_earned_rest_sweet_dreams	Ahora es momento de un descanso bien merecido. ¡Dulces sueños!
funnyman.thats_all_folks_tune_tomorrow_real_fight	¡Eso es todo, amigos! PERO no olviden sintonizarnos mañana, ahí es cuando comenzará la VERDADERA pelea.
punk.what_the_hell	¿Qué carajos? ¡¿QUÉ CARAJOS?!
meatgrinder.hurr_hurr	Je je je...
funnyman.what_the	¡¿Qué demon-...?!
worker.thisll_fix_it	¡Esto lo arreglará!
funnyman.all_part_of_show_right_back_messages	¡Ehm, todo es parte del show, amigos! ¡Volvemos enseguida después de estos comerciales!
bgspeaker.guards_stop_them	¡Guardias! ¡DETÉNGANLOS!
name.funnyman	Funnyman
funnyman.finished_superfighters_never_work_again	¡Están acabados, superluchadores! ¡Nunca volverán a trabajar en esta ciudad!
funnyman.season_finale_superfighters_live	¡Ha llegado el momento, damas y caballeros, del tan esperado final de temporada de Superluchadores en Vivo!
funnyman.which_team_victorious_in_pit	¿Qué equipo resultará victorioso en la Fosa? ¡Vamos a descubrirlo!
funnyman.no_hunters_cream_crop_fishtanks	¡Sin cazadores esta vez, solo lo mejor de lo mejor: superluchadores mejorados, locos por la pelea, recién salidos de los tanques!
funnyman.let_fight_begin	¡Que comience la pelea!
funnyman.what_a_brawl_ladies_gentlemen	¡Menuda pelea! Damas y caballeros...
funnyman.team_blue_victorious	¡El equipo azul es el vencedor!
funnyman.real_firepower_time_for	¡Ahora veamos cómo manejan algo de auténtica artillería pesada! Es hora de...
funnyman.team_blue_still_standing_more	¡Impresionante! ¡El equipo azul aún sigue en pie! ¡Sigamos con más!
funnyman.the_last_stand	¡LA ÚLTIMA BATALLA!
bodyguard.um_boss	Eh... ¿jefe?
soldier_2.hee_hee_hee	¡JE JE JE!
soldier_2.hee_hee	¡Je je!
soldier_2.five	¡Cinco!
soldier_2.three_hee	¡Tres!\n¡Je!
soldier_2.two	¡Dos!
soldier_2.one	¡Uno!
soldier_2.done_hee_hee	¡Hecho!\n¡Je je!
soldier_2.wont_bite_hee_hee	¡No muerde!\n¡Je je!
soldier_2.stage_fright_hee_hee	¡Miedo escénico!\n¡Je je!
soldier_1.ten	¡¡DIEZ!!
soldier_1.seven_eight	¡Siete, ocho!
soldier_1.three	¡Tres!
soldier_1.last_warning_count_to_ten_move_on	¡Muy bien, listillos, esta es su última advertencia! ¡Voy a contar hasta diez, y más les vale que se hayan ido antes de que termine!
soldier_1.audience_wont_bite_he_he	¡Vamos! ¡El público no muerde! ¡Je je!
soldier_1.dont_wanna_end_like_poor_bastards_stagefright	No querrán terminar como estos pobres desgraciados. ¡Supongo que les dio miedo escénico, je je!
soldier_2.big_star_hee_hee	¡Grandes estrellas!\n¡Je je!
soldier_1.show_starting_big_star	¡Vamos! El show está por comenzar, y ustedes son las grandes estrellas.
soldier_2.showtime_hee_hee	¡Hora del show!\n¡Je je!
soldier_1.go_on_meatbags_showtime	¡Vamos, sacos de carne! ¡Es hora del show!
funnyman.idiots_glass_indestructible	¡Idiotas! Si ese vidrio no hubiera sido perfectamente indestructible...
soldier_2.oh_boy	¡Uy, uy, uy!
soldier_1.nine	¡Nueve!
soldier_1.is_that_so_meatbag	¿Eso crees, saco de carne?
fighter.you_cant_treat_us_like_this	¡No pueden tratarnos así!
funnyman.not_going_back_to_kiddie_hour	¡NO pienso volver a la hora de los niños!
funnyman.you_havent_won	¡Todavía... no... han ganado!...
bgspeaker.why_cant_play_by_rules	Ustedes, superluchadores... ¿por qué no pueden simplemente jugar según las reglas?
name.the_funnyman	Funnyman
bgspeaker.good_career_bio_engineered_morons_ruin	¡Tengo una buena carrera en marcha, y no voy a dejar que unos idiotas modificados genéticamente me la arruinen!
bgspeaker.you_were_star_broken_toy_soldiers	¡Ustedes eran ESTRELLAS! ¡Le dieron a la gente lo que quería! Sin eso, ¿qué son? ¡Solo unos inútiles, soldados de juguete rotos!
bgspeaker.public_service_keeping_order_chaos	¿No ven que estamos prestando un servicio público? ¡Mantenemos el orden! ¡Sin superluchadores, habría CAOS!
bgspeaker.that_hurt_enjoy_killing_you	¡Eso DOLIÓ! ¡Voy a disfrutar acabar con ustedes!
bgspeaker.killing_me_wont_change_figurehead_replaced	¡Matarme no cambiará nada! Solo soy la cabeza visible... el hombre del traje elegante. Puedo ser reemplazado... ¡Pero no dejaré que eso suceda!
bgspeaker.what_trying_destroy_show_cant_blow_studio	¿Qué están intentando hacer, eh? ¡Aunque destruyan el show, no pueden hacer explotar todo el estudio!
bgspeaker.ungrateful_swine_what_without_us	¡Cerdos desagradecidos! ¿Qué harían sin nosotros?
bgspeaker.roger_alpha3_units_deployed_closing_target	Recibido, Alfa 3. Todas las unidades desplegadas, nos estamos acercando al objetivo.
bgspeaker.more_soldiers_coming_trapped_surrender	¡Más soldados están por llegar! ¡Están atrapados aquí! ¡Será mejor que se rindan!
funnyman.urgh_everyones_a_critic	Urgh, todos son críticos...
funnyman.curtains_down	Telón... abajo...
bgspectator.rough_night_huh	Noche difícil, ¿eh?
name.shadowy_figure	Figura Oscura
bgspectator.not_getting_off_building_exits_cut	Estoy seguro de que ya se dieron cuenta de que no van a salir de este edificio. Todas las salidas están bloqueadas y más soldados están en camino.
bgspectator.suppose_bring_down_broadcasting_tower_stop_signal	Pero supongamos que alguien derribara la torre de transmisión. Supongamos que alguien cortara la señal...
bgspectator.what_people_do_without_entertainment	¿Qué haría la gente, me pregunto, sin su preciado entretenimiento?
bgspectator.something_to_ponder	Es algo para reflexionar, supongo.
bgspectator.more_soldiers_keep_moving	Se acercan más soldados. Será mejor que sigan moviéndose.
bgspectator.nowhere_to_go_but_up	Solo les queda seguir subiendo.
bgspectator.out_of_time_coming	No les queda mucho tiempo. Ya vienen.
bgspectator.hour_getting_late	El tiempo se agota.
bgspectator.this_is_your_stop	Ésta es su parada.
helicopter.taking_hits	¡Estamos recibiendo impactos!
name.pilot	Piloto
helicopter.damn	¡Mierda!
helicopter.pulling_out	¡Retirada!
helicopter.argh	¡Argh!
helicopter.didnt_sign_up_for_this	¡Yo no me enlisté para esto!
helicopter.what_the_hell_was_that	¡¿Qué demonios fue eso?!
agent.bodies	¿Cuerpos?
metrocop.none_found_tower_fell_three_blocks_mess	Ninguno encontrado, señor. La torre misma cayó sobre tres manzanas de la ciudad. Las unidades están en camino. Es un maldito desastre, señor.
agent.hope_secure_bodies_specimens	Espero, por tu bien, que... ASEGURES los cuerpos. Hay muchos que querrían poner sus manos sobre esos especímenes.
metrocop.oooooh_yes_suppose_so	Ooooh.\n...Sí, supongo que sí.
agent.not_in_that_way_sergeant	No en ESE sentido, sargento.
newsboy.extra_new_developments_culprits_manhunt	¡Extra! ¡Extra! ¡Nuevos acontecimientos! ¡Los culpables podrían seguir prófugos! Cacería humana en marcha en...
