key	translation
punk.no_one_gets_out_by_order_of_balista	¡Nadie sale, por orden de Balista!
firebug.growl_mfgllll	¡Mfgllll, mfwrrrr! ¡MFWRRRR!
prisoner.want_phone_call	¡Oiga, jefe! ¡Quiero hacer mi llamada!
prisoner.look_out	¡Eh, CUIDADO!
prisoner.what_hell_going_on	¿Q-qué demonios está PASANDO ahí fuera?
punk_leader.kill_prisoners_too	¡Maten a los prisioneros también! ¡Ya tenemos a todos los guerreros que necesitamos!
prisoner.god_save_us_hive_gang	¡Dios nos salve, es la Hive Gang!
santana.respect_law_and_order	¡OYE! ¡¿Acaso no tienen ningún respeto por la ley y el orden?!
bobby.nope	Nop.
balista.kill_them	Mátenlos.
johnny.you_bastards	¡BASTARDOS! ¡No se van a salir con la suya!
balista.seal_all_exits_visit_commissioner	Quiero todas las salidas bloqueadas. Nadie entra ni sale. Voy a hacerle una visita al Comisionado.
balista.full_well_detective_good_night	Lo sé PERFECTAMENTE, detective. Buenas noches.
bobby.heard_lady_copper_goodnight	Ya oíste a la dama, oficial. ¡Hora de decir buenas noches!
grub.strange_noise_ignore	Ruido extraño... Voy a ignorarlo.
bobby.you_got_it_queen_b	A tus órdenes, Reina B.
balista.report_mass_murderer	Hola. Quiero reportar el paradero de una NOTORIA ASESINA EN MASA.
name.mystery_woman	Mujer misteriosa
receptionist.sure_lady_who	Claro, señora. ¿Quién?
balista.me	Yo.
receptionist.b_balista	¡B-Balista!
officer.too_many_damn_many	Demasiados... ¡Son demasiados maldita sea!
com.blood_for_balista	¡Sangre! ¡Sangre para BALISTA!
officer.pipe_it_down	¡Sí, sí! ¡Baja la voz!
receptionist.electricity_back_cameras	Al menos la electricidad volvió, pero... ¿qué demonios pasa con las cámaras de seguridad?
officer.why_mcbride_brought_rogue_fighters	¿Por qué McBride trajo a esos luchadores rebeldes? MetroLaw se los llevará tarde o temprano, no tiene sentido luchar contra eso.
officer.wanted_for_questioning_corporate_slime	Ni idea. Tal vez los quería para interrogarlos o algo así. O quizá solo quería fastidiar a esos malditos corporativos.
officer.serves_em_right_good_police	¡Se lo merecen! No sé qué está tramando McBride, pero es buen policía. Ya no quedamos muchos en esta ciudad...
punk.yeee_hawww	¡¡¡Yiiii-jaaa!!!
punk_leader.dead_pissed_off_hive_gang	¡¿Muertos?!\r\n\r\n¡Quienquiera que sean, acaban de enfadar a la Hive Gang!
text.block	BLOQUE
text.exit	SALIDA
text.balista_is_queen	BALISTA\r\n  ES\r\nLA REINA
text.hive_gang	HIVE GANG
text.help	AYUDA
text.kill_em_all	MÁTALOS\r\nA\r\nTODOS
text.kill	MATA
text.hive_gang_rulez	¡HIVE GANG\r\n  MANDA!
text.rulez	MANDA
text.detention_block_a	BLOQUE DE DETENCIÓN A
popup.sunny_city_20xx	Sunny City, 20XX\r\n\r\n
popup.sunny_city_9th_precinct	Sunny City, 20XX\r\n\r\nDistrito 9
jug.borrow_buck_soda	Oye Frank, ¿me prestas un dólar? Quiero comprar un refresco de la máquina.
frank.buy_soda_thug_bat_smash	¿Comprar un refresco? ¿¡COMPRAR un refresco?! ¡Eres un MATÓN! ¡Tienes un BATE! ¡Solo DESTROZA la maldita cosa!
jug.sounds_like_lot_of_work	Oooh... Oooh... no sé, suena a mucho trabajo... Es más fácil solo...
frank.not_point_principles_paying	¡Ese no es el PUNTO! Se trata de... ¡Se trata de PRINCIPIOS! ¿Dónde estaría la Hive Gang si empezáramos a PAGAR por las cosas?
jug.right_frank_principles	Supongo que tienes razón, Frank... Es importante tener principios.
frank.people_these_days	La GENTE de hoy en día...
johnny.youre_those_prisoners_survive_help	¡Oye, son esos prisioneros! ¿Cómo diablos sobrevivieron? Da igual. Veo que no son amigos de la Hive Gang. Así que ayudémonos mutuamente.
johnny.pilot_detention_block_d_kill_balista	Hay un piloto, un prisionero como ustedes, en el Bloque de Detención D. Si alguien puede sacarlos de este desastre, es él. Puedo llevarlos hasta él, pero primero ayúdenme a matar a Balista.
johnny.crap_coming_elevator_behind	¡Mierda, ya vienen! Escuchen. Hay un ascensor por la puerta detrás de ustedes. Yo intentaré encontrar otra forma de subir. Nos vemos allí, espero.
agent.tell_men_relax_take_over	Puede decirles a sus hombres que se relajen, detective. Nosotros nos haremos cargo de aquí en adelante.
detective_kong.mercenary_scumbags_wanted_cops	¡Malditos mercenarios! ¡Yo pedí refuerzos, POLICÍAS, no un montón de mercenarios ansiosos por disparar!
agent.mayor_deems_insufficient_professionals	El alcalde considera que su departamento es... INSUFICIENTE para la situación actual. Deje esto en manos de los profesionales.
detective_kong.you_oughta	¡Tú... tú... por qué debería...!
agent.alpha_tango_deploy_streetsweepers	Alfa Tango a Zeta Foxtrot. Desplieguen a los Barre-calles.
bgradio.precinct9_attacked_by_hive_gang	La comisaría del Distrito 9 fue atacada hoy por la infame Hive Gang. Su líder, una mujer conocida solo como Balista, es la autoproclamada reina del crimen desorganizado de nuestra querida ciudad.
name.newsreader	Presentador
bgradio.balista_army_took_control_station	El ejército de matones callejeros fanáticos de Balista tomó rápidamente el control de la comisaría y se ha atrincherado en su interior. No está claro si alguien sobrevivió al bárbaro ataque.
bgradio.mayor_called_totally_unfair	El alcalde hizo una breve declaración sobre el ataque, calificándolo de 'totalmente injusto'. Les traeremos más actualizaciones en vivo a medida que esta emocionante historia se desarrolle.
bgradio.assault_revenge_crime_campaign_hagan	El asalto fue probablemente un acto de venganza temeraria por una reciente campaña contra el crimen liderada por el Comisionado Hagan, en la que murieron varios miembros de alto rango de la Hive Gang.
bgspeaker.balista_station_under_hive_control_no_escape	Les habla Balista. Esta comisaría está ahora bajo el control de la Hive Gang. Todas las salidas están selladas. No hay escapatoria.
name.balista	Balista
bgspeaker.crush_pockets_resistance_head_of_hagan	¡A todos mis valientes guerreros, mis leales berserkers: aplasten los últimos focos de resistencia! ¡Tráiganme la cabeza del Comisionado Hagan!
bgspeaker.one_law_do_what_hate_tells	En esta noche solo hay una ley: ¡Haz lo que tu Odio te diga!
johnny.youre_that_prisoner_survive_help	¡Oye, eres ese prisionero! ¿Cómo diablos sobreviviste? Da igual. Veo que no eres amigo de la Hive Gang. Así que ayudémonos mutuamente.
punk_leader.die_by_order_of_balista	¡Muere! ¡Por orden de Balista!
text.kill_all_cops	MATEN\r\n  A TODOS\r\nLOS POLICÍAS
text.no_mercy	SIN\r\nPIEDAD
text.no	SIN
commissioner_hagan.no_how_get_in_help	¡No! ¿Cómo lograste entrar? ¡¡AYUDA!!
bgradio.metrolaw_deployed_deal_terrorists	Última hora: Por orden del alcalde, se han desplegado varias unidades de MetroLaw para hacer frente a los terroristas que tomaron el control de la comisaría del Distrito 9 esta noche.
bgradio.obsoletion_traditional_police_privatized_future	Muchos han señalado los eventos de esta noche como prueba de la obsolescencia de la policía tradicional, y sostienen que la privatización total de la seguridad es el camino hacia el futuro.
bgradio.sponsored_by_metrocorp_brighter_future	Esta transmisión ha sido patrocinada por MetroCorp: Un Futuro Más Brillante para Sunny City. ¡Buenas noches!
bgradio.more_snow_expected_holiday_weekend	...con más nieve prevista durante el fin de semana festivo.
punk.heeelp_after_me	¡Ayudaaa! ¡Me está persiguiendo!
bgspeaker.balista_coward_hagan_give_up	¡Les habla Balista! ¡El cobarde de Hagan debe entregarse!
commissioner_hagan.ha_not_likely	¡Ja! ¡Ni lo sueñes!
bgspeaker.whoever_brings_commissioner_spared_violence	¡Además, quien me traiga al comisionado, vivo o muerto, quedará libre de toda violencia!
commissioner_hagan.turn_men_against_me_evil	¡¿Así que vas a poner a mis propios hombres en mi contra?! Tu vil, apestosa, sedienta de sangre...
commissioner_hagan.no_one_getting_in_beg	¡Se acabó! ¡NADIE va a entrar! ¡No importa cuánto SUPLIQUEN!
punk.nice_shot_queen_b	¡Woooh! ¡Buen tiro, Reina B!
text.hive_gang_rulez_2	HIVE\r\nGANG\r\nMANDA
text.mersy	PIEDAD
text.obey	OBEDECE
text.queen	REINA
text.anarky	ANARQUÍA
jeff.okay_trusty_plane_ignition	Bueno, veamosh. Prefiero mi avión de confiansha, pero... eshto sirve. Shi tan sholo pudiera encontrar el encendido. Ah, aquí eshtá.
name.jeff	Jeff
jeff.hold_them_off_work_on_thing	¡Entretenganlosh mientrash arreglo eshta cosha!
jeff.shes_alive_hop_on_board	¡Eshtá viva! ¡ESHTÁ VIVA! ¡Todosh a bordo, chicosh!
sensible_metrocop.dont_let_them_get_away	¡No dejen que se escapen! ¡HAGAN algo!
name.metrocop	MetroCop
