key	translation
punk.no_one_gets_out_by_order_of_balista	Никто не выйдет, по приказу Балисты!
firebug.growl_mfgllll	Мфггллл мфвррр! МФВРРРР!
prisoner.want_phone_call	Эй, шеф! Хочу свой звонок!
prisoner.look_out	Эй, БЕРЕГИСЬ!
prisoner.what_hell_going_on	Ч-что за черт ТУТ происходит?
punk_leader.kill_prisoners_too	Убейте и пленников! Бойцов нам хватает!
prisoner.god_save_us_hive_gang	Спаси нас Боже — это Банда Улья!
santana.respect_law_and_order	ЭЙ! У вас вообще есть уважение к закону?!
bobby.nope	Неа.
balista.kill_them	Убейте их.
johnny.you_bastards	Вы, УБЛЮДКИ! Вам это с рук не сойдет!
balista.seal_all_exits_visit_commissioner	Приказываю опечатать все выходы. Никто не войдет и не выйдет. Навещу-ка Комиссара.
balista.full_well_detective_good_night	Я прекрасно это ЗНАЮ, детектив. Спокойной ночи.
bobby.heard_lady_copper_goodnight	Ты слышал даму, легавый. Пора баиньки!
grub.strange_noise_ignore	Странный шум... Не обращу внимания.
bobby.you_got_it_queen_b	Понял, Королева Би.
balista.report_mass_murderer	Здравствуйте. Хочу сообщить, где находится один печально известный МАССОВЫЙ УБИЙЦА.
name.mystery_woman	Незнакомка
receptionist.sure_lady_who	Конечно, мэм. Кто?
balista.me	Я.
receptionist.b_balista	Б-Балиста!
officer.too_many_damn_many	Их слишком... слишком много!
com.blood_for_balista	Кровь! Кровь во имя БАЛИСТЫ!
officer.pipe_it_down	Да, да. Потише!
receptionist.electricity_back_cameras	Хоть электричество вернулось... но что за чертовщина с камерами?
officer.why_mcbride_brought_rogue_fighters	Зачем Макбрайд привел этих отморозков? МетроЛо их все равно достанет — нет смысла сопротивляться.
officer.wanted_for_questioning_corporate_slime	Не знаю. Хотел допросить или типа того. Или просто насолить этим корпоративным слизнякам.
officer.serves_em_right_good_police	Так им и надо! Не знаю, что задумал Макбрайд, но он хороший коп. Таких в городе почти не осталось...
punk.yeee_hawww	Йиии-хааа!!!
punk_leader.dead_pissed_off_hive_gang	Мертв?!\r\n\r\nКто бы ты ни был, ты разозлил Банду Улья!
text.block	БЛОК
text.exit	ВЫХОД
text.balista_is_queen	БАЛИСТА\r\n  ЭТО\r\nКОРОЛЕВА
text.hive_gang	БАНДА УЛЬЯ
text.help	ПОМОГИТЕ
text.kill_em_all	УБЕЙТЕ\r\nИХ\r\nВСЕХ
text.kill	УБЕЙ
text.hive_gang_rulez	БАНДА УЛЬЯ\r\n РУЛИТ!
text.rulez	РУЛИТ
text.detention_block_a	БЛОК ЗАДЕРЖАНИЯ А
popup.sunny_city_20xx	Санни-Сити, 20XX\r\n\r\n
popup.sunny_city_9th_precinct	Санни-Сити, 20XX\r\n\r\n9-й участок
jug.borrow_buck_soda	Эй, Фрэнк, одолжи бакс? Хочу газировку из автомата.
frank.buy_soda_thug_bat_smash	Купить газировку? КУПИТЬ газировку?! Ты БАНДИТ! У тебя есть БИТА! Просто РАЗБЕЙ эту чертову штуку!
jug.sounds_like_lot_of_work	Ооо... Не знаю, это столько возни... Проще просто...
frank.not_point_principles_paying	Дело не в ЭТОМ! Дело в... ПРИНЦИПАХ! Что будет с Бандой Улья, если мы начнем ПЛАТИТЬ за вещи?
jug.right_frank_principles	Наверно, ты прав, Фрэнк... Важно иметь принципы.
frank.people_these_days	Ну и люди нынче...
