key	translation
bgspeaker.rise_and_shine_superfighters_work_to_do	¡Arriba, superluchadores! ¡Hay trabajo que hacer!
name.speaker_voice	Voz del Altavoz
bgspeaker.feeling_disoriented_dont_worry	¿Un poco desorientado? ¡No te preocupes!
bgspeaker.relax_do_whatever_natural	Solo relájate y haz lo que te salga natural.
punk.remember_them_or_us	¡Recuerda, son ellos o nosotros!
bgspeaker.remember_have_fun	...¡y recordad: DIVERTÍOS!
bgspeaker.good_job_real_fight_begins	¡Buen trabajo! ¡Pero ahora empieza la verdadera pelea!
punk.kill_em_all	¡Matadlos a todos!
bgspeaker.fine_work_breather_next_challenge	¡Buen trabajo! Tómate un respiro antes de tu próximo desafío.
popup.somewhere_in_sunny_city_20xx	En algún lugar de Ciudad Soleada\n20XX
meatgrinder.23_more_kills_cooking_show	¡23 muertes más y me dan mi propio programa de cocina!
punk.there_blast_em	¡Ahí, acribilladlos!
announcer.ladies_gentlemen_welcome_to_stage	Damas y caballeros, ¿podrían dar la bienvenida al escenario a...
announcer.the_superfighters	...¡LOS SUPERLUCHADORES!
funnyman.good_job_handled_those_punks	¡Buen trabajo ahí fuera! ¡Vaya forma de encargarte de esos macarras!
funnyman.well_earned_rest_sweet_dreams	Ahora es hora de un merecido descanso. ¡Dulces sueños!
funnyman.thats_all_folks_tune_tomorrow_real_fight	¡Eso es todo, amigos! PERO no olvidéis sintonizar mañana, ahí es cuando empieza la pelea DE VERDAD.
punk.what_the_hell	¡Qué demonios! ¡¡¡QUÉ DEMONIOS!!!
meatgrinder.hurr_hurr	Je je je...
funnyman.what_the	¡¿Qué...!?
worker.thisll_fix_it	¡Esto lo arreglará!
funnyman.all_part_of_show_right_back_messages	¡Eh, todo es parte del espectáculo, amigos! ¡Volvemos enseguida después de estos mensajes!
bgspeaker.guards_stop_them	¡Guardias! ¡¡DETENEDLOS!!
name.funnyman	Bromista
funnyman.finished_superfighters_never_work_again	¡Estáis acabados, superluchadores! ¡No volveréis a trabajar en esta ciudad!
funnyman.season_finale_superfighters_live	¡Ha llegado el momento, damas y caballeros, del esperado final de temporada de Superfighters Live!
funnyman.which_team_victorious_in_pit	¿Qué equipo vencerá en el Pozo? ¡Hora de averiguarlo!
funnyman.no_hunters_cream_crop_fishtanks	¡Esta vez sin cazadores, solo la flor y nata: superluchadores vitaminados y locos por la batalla, directos de los tanques!
funnyman.let_fight_begin	¡Que comience la pelea!
funnyman.what_a_brawl_ladies_gentlemen	¡Vaya pelea! ¡Damas y caballeros...
funnyman.team_blue_victorious	¡El Equipo Azul vence!
funnyman.real_firepower_time_for	¡Ahora veamos cómo se las arreglan con fuego real! ¡Es hora de...
funnyman.team_blue_still_standing_more	¡Increíble! ¡El Equipo Azul sigue en pie! ¡Vamos con más!
funnyman.the_last_stand	...¡LA ÚLTIMA BATALLA!
bodyguard.um_boss	Eh... ¿jefe?
soldier_2.hee_hee_hee	¡JE JE JE!
soldier_2.hee_hee	¡Je je!
soldier_2.five	¡Cinco!
soldier_2.three_hee	¡Tres!\n¡Je!
soldier_2.two	¡Dos!
soldier_2.one	¡Uno!
soldier_2.done_hee_hee	¡Hecho!\n¡Je je!
soldier_2.wont_bite_hee_hee	¡No muerde!\n¡Je je!
soldier_2.stage_fright_hee_hee	¡Miedo escénico!\n¡Je je!
soldier_1.ten	¡¡DIEZ!!
soldier_1.seven_eight	¡Siete, ocho!
soldier_1.three	¡Tres!
soldier_1.last_warning_count_to_ten_move_on	¡Muy bien, listillo, es tu último aviso! ¡Voy a contar hasta diez y será mejor que te largues antes de que acabe!
soldier_1.audience_wont_bite_he_he	¡Vamos! ¡El público no muerde! ¡Je je!
soldier_1.dont_wanna_end_like_poor_bastards_stagefright	No querrás acabar como estos pobres desgraciados. Supongo que les dio miedo escénico, ¡je je!
soldier_2.big_star_hee_hee	¡Gran estrella!\n¡Je je!
soldier_1.show_starting_big_star	¡Vamos! El espectáculo empieza y tú eres la gran estrella.
soldier_2.showtime_hee_hee	¡Espectáculo!\n¡Je je!
soldier_1.go_on_meatbags_showtime	¡Vamos, sacos de carne! ¡Empieza el show!
