original	key	kind
Ladies and gentlemen, things are heating up here in the SFTV studios!	bgspeaker.ladies_gentlemen_heating_up_sftv	dialogue-text
The Funnyman	name.the_funnyman	dialogue-name
Team Blue is on FIRE tonight! But let's see how they handle some real firepower! It's time for...	bgspeaker.team_blue_on_fire_real_firepower	dialogue-text
...THE LAST STAND!	bgspeaker.the_last_stand	dialogue-text
Amazing!	funnyman.amazing	dialogue-text
Did you see that, people watching at home! Incredible!	funnyman.did_you_see_that_incredible	dialogue-text
Wow!	funnyman.wow	dialogue-text
Unbelievable!	funnyman.unbelievable	dialogue-text
Oooo, nasty!	funnyman.oooo_nasty	dialogue-text
Another one bites the dust, ladies and gentlemen!	funnyman.another_one_bites_the_dust	dialogue-text
Oof, that's gotta hurt!	funnyman.oof_thats_gotta_hurt	dialogue-text
Aha! A challenger approaches!	funnyman.aha_challenger_approaches	dialogue-text
Look out, Team Blue! Danger, danger!	funnyman.look_out_team_blue_danger	dialogue-text
Fine work! Don't go anywhere folks, it's time for a break.	funnyman.fine_work_break	dialogue-text
Fine work, Team Blue! We'll be right back!	funnyman.fine_work_team_blue_right_back	dialogue-text
Team Blue lives to fight another day! We'll be right back folks. Roll commercials!	funnyman.team_blue_lives_another_day_commercials	dialogue-text
Team Blue wins again! We'll be right back after a word from our sponsors!	funnyman.team_blue_wins_sponsors	dialogue-text
Team Blue is unstoppable! We'll be right back!	funnyman.team_blue_unstoppable_right_back	dialogue-text
Beautiful! We'll be back with more Team Blue after the break!	funnyman.beautiful_more_after_break	dialogue-text
That's quality entertainment, folks! Don't change the channel, we'll be right back!	funnyman.quality_entertainment_dont_change_channel	dialogue-text
Ladies and gentlemen, what a show! We'll be right back!	funnyman.what_a_show_right_back	dialogue-text
Boom! Don't touch that switch people, we'll be right back!	funnyman.boom_dont_touch_switch	dialogue-text
Don't go anywhere folks, we'll be back after these messages!	funnyman.dont_go_anywhere_messages	dialogue-text
Team Blue doesn't disappoint! Stick around, we'll be right back!	funnyman.team_blue_doesnt_disappoint_stick_around	dialogue-text
Will Team Blue ever be bested? Find out after these messages!	funnyman.will_team_blue_ever_be_bested	dialogue-text
Team Blue wins again - but how long will their luck last? Stay tuned, and find out!	funnyman.team_blue_wins_how_long_luck_last	dialogue-text
That's what it's all about! We'll be right back after these messages!	funnyman.thats_what_its_all_about_messages	dialogue-text
Fantastic! More with Team Blue after the break. Don't go anywhere!	funnyman.fantastic_more_after_break	dialogue-text
Whew, I thought Team Blue was a goner! Stick around folks, we'll be right back!	funnyman.whew_team_blue_goner_stick_around	dialogue-text
That's all for tonight folks! Give it up once again for Team Blue!	funnyman.all_for_tonight_give_it_up	dialogue-text
That's it for Team Blue, ladies and gentlemen!	funnyman.thats_it_for_team_blue	dialogue-text
A glorious end! Give it up for Team Blue, ladies and gentlemen!	funnyman.glorious_end_give_it_up	dialogue-text
Team Blue bites the dust at last!	funnyman.team_blue_bites_dust_at_last	dialogue-text
Bad luck, Team Blue! You had a long good run!	funnyman.bad_luck_long_good_run	dialogue-text
And that's Team Blue, ladies and gentlemen! What a show!	funnyman.thats_team_blue_what_a_show	dialogue-text
