key	translation
bgspeaker.rise_and_shine_superfighters_work_to_do	Подъем, супербойцы! За работу!
name.speaker_voice	Динамик
bgspeaker.feeling_disoriented_dont_worry	Чувствуешь дезориентацию? Не волнуйся!
bgspeaker.relax_do_whatever_natural	Просто расслабься и делай, что естественно.
punk.remember_them_or_us	Помни — либо они, либо мы!
bgspeaker.remember_have_fun	...и помните: ВЕСЕЛИТЕСЬ!
bgspeaker.good_job_real_fight_begins	Отлично! Но теперь начинается настоящий бой!
punk.kill_em_all	Убейте их всех!
bgspeaker.fine_work_breather_next_challenge	Отличная работа! Передохни перед следующим испытанием.
popup.somewhere_in_sunny_city_20xx	Где-то в Санни-Сити\n20XX
meatgrinder.23_more_kills_cooking_show	Еще 23 убийства и у меня свое кулинарное шоу!
punk.there_blast_em	Вот — добейте их!
announcer.ladies_gentlemen_welcome_to_stage	Дамы и господа, поприветствуйте на сцене...
announcer.the_superfighters	...СУПЕРБОЙЦОВ!
funnyman.good_job_handled_those_punks	Отлично сработано! Ты разделался с этими панками!
funnyman.well_earned_rest_sweet_dreams	А теперь пора заслуженно отдохнуть. Сладких снов!
funnyman.thats_all_folks_tune_tomorrow_real_fight	На этом все, друзья! НО не забудьте завтра — тогда начнется НАСТОЯЩАЯ драка.
punk.what_the_hell	Какого черта! КАКОГО ЧЕРТА!
meatgrinder.hurr_hurr	Хе хе хе...
funnyman.what_the	Чего...!?
worker.thisll_fix_it	Сейчас починю!
funnyman.all_part_of_show_right_back_messages	Эй, это все часть шоу, друзья! Мы вернемся сразу после рекламы!
bgspeaker.guards_stop_them	Охрана! ОСТАНОВИТЕ ИХ!
name.funnyman	Весельчак
funnyman.finished_superfighters_never_work_again	Вам конец, супербойцы! Вы больше не будете работать в этом городе!
funnyman.season_finale_superfighters_live	Настало время, дамы и господа, долгожданного финала сезона Супербойцы Live!
funnyman.which_team_victorious_in_pit	Какая команда победит в Яме? Сейчас узнаем!
funnyman.no_hunters_cream_crop_fishtanks	В этот раз без охотников — лишь элита: накачанные, свихнувшиеся супербойцы прямо из пробирок!
funnyman.let_fight_begin	Пусть бой начнется!
funnyman.what_a_brawl_ladies_gentlemen	Вот это драка! Дамы и господа —
funnyman.team_blue_victorious	Команда Синих побеждает!
funnyman.real_firepower_time_for	А теперь посмотрим, как они справятся с настоящим огнем! Пора...
funnyman.team_blue_still_standing_more	Невероятно! Команда Синих все еще на ногах! Дадим еще жару!
funnyman.the_last_stand	...ПОСЛЕДНЕЙ БИТВЫ!
bodyguard.um_boss	Эм... босс?
soldier_2.hee_hee_hee	ХИ ХИ ХИ!
soldier_2.hee_hee	Хи хи!
soldier_2.five	Пять!
soldier_2.three_hee	Три!\nХи!
soldier_2.two	Два!
soldier_2.one	Один!
