key	translation
diag.castle.officer.good.evening.project	¡Buenas noches, Dr. Fritzliebe! ¿Cómo avanza el proyecto Überkämpfer?
diag.castle.fritzliebe.excellently.responding	¡Excelentemente, Herr Sturmbannführer! ¡Los prisioneros están respondiendo de maravilla a la fórmula! ¡Pronto el Führer tendrá su ejército imparable!
diag.castle.officer.whats.that	¿Cómo dice, doctor?
diag.castle.fritzliebe.heil.hitler	¡He dicho, HEIL HITLER!
diag.castle.officer.heil.hitler	¡HEIL HITLER!
diag.castle.officer.allied.airstrike	¡Verdammt! ¡Un ataque aéreo aliado!
diag.castle.fritzliebe.fuehrer.cower	(Y pronto el mismísimo Führer se acobardará ante Fritzliebe! ¡Ja-ja!)
diag.castle.fritzliebe.mein.gott.stop	¡Mein Gott! ¡Deténganlos!
diag.castle.fritzliebe.fear.not.aa	¡No teman! ¡Mi sistema antiaéreo se encargará de ellos en breve!
diag.castle.fritzliebe.cellars.raus	Aun así... estos viejos sótanos están en mal estado. ¡Raus!
popup.castle.intro.sonnenfreude	Castillo Sonnenfreude\nEn algún lugar de Austria\nDiciembre de 1943
diag.choir.officer.again.top	¡Otra vez, desde el principio! ¡Y con más sentimiento esta vez!
name.ss.officer	Oficial SS
diag.choir.officer.nein.too.late	¡Nein, nein, nein! ¡Otra vez tarde!
diag.choir.chorus.tannenbaum.treu	O Tannenbaum, o Tannenbaum,\nwie treu sind deine Blätter!
name.chorus	Coro
diag.choir.chorus.gruenst.sommerzeit	Du grünst nicht nur zur Sommerzeit,\nNein auch im Winter, wenn es schneit!
diag.castle.prisoner.wo.aufzug	¡Verdammt! ¿Dónde está el ascensor?
diag.castle.prisoner.unfair	¡Esto es injusto!
diag.castle.officer.no.christmas.tree	¡NEIN! ¡No podéis destruir el árbol de Navidad!
diag.castle.announce.attentaten	¡¡¡Atentado!!!
diag.lab.fritzliebe.biochemie.specialty	La BIOQUÍMICA es mi especialidad, es cierto...
name.fritzliebe	Dr. Fritzliebe
diag.lab.fritzliebe.mechanische.advancements	...¡pero también tengo muchos avances MECÁNICOS que enseñarles!
diag.lab.officer.shall.see	¡Ja! ¡Ya lo veremos!
diag.lab.fritzliebe.impudent.fools	¡Insolentes!
diag.lab.fritzliebe.cough.killed.me	*cof* ¡Arrrrgh... ¡Schweinhunden! ¡Me habéis matado... pero no saldréis de aquí con vida!
diag.lab.fritzliebe.die.now	¡Morid ahora!
diag.lab.allied.mission.accomplished	Ya está, chicos. Misión cumplida.
diag.lab.allied.someone.coming.out	¡Alguien sale, señor!
diag.lab.allied.get.out	No importa, me lo cuentas luego. ¡Tengo órdenes de sacaros de aquí cagando leches!
diag.lab.allied.win.war	Si lo que he oído es cierto, podrías ser justo lo que necesitamos para ganar esta guerra...
diag.lab.kriegbaer.roar1	¡¡¡RARRRRRRRRH!!
name.kriegbaer2	Kriegbär Nº2
diag.lab.kriegbaer.roar2	¡¡¡HNNNARRRRRRRHHH!!!
diag.lab.fritzliebe.children.killed.kriegbaer2	Ah, hijos míos... habéis matado al pobre Kriegbär Nº2.
diag.lab.fritzliebe.greatest.triumph.mistake.plural	¡Sois mi mayor triunfo... pero también mi mayor error!
diag.lab.fritzliebe.rectify.mistake.obey	¡Es hora de corregir ese error! Os desmontaré y empezaré de nuevo. Y el próximo modelo será mejor. OBEDECERÁ.
diag.lab.fritzliebe.take.apart.perfect	¡Tendré que desmontarte y empezar de nuevo! ¡Y esta vez serás perfecto!
diag.lab.fritzliebe.children.so.far.triumph	¡Ah, hijos! ¡Habéis llegado tan lejos! ¡Qué orgulloso estoy! ¡Sois realmente mi mayor TRIUNFO científico!
diag.lab.fritzliebe.mistake.frau.bring.them	¡Pero también mi mayor ERROR! ¡Es hora de corregir ese error! ¡Frau Sturmbannführer! ¡Traédmelos!
diag.lab.fritzliebe.kriegbaer.escaped.friend	¡Hm! ¿El Kriegbär ha escapado? ¡Eso no pinta bien para ti, amigo mío!
diag.lab.fritzliebe.child.so.far.triumph	¡Ah, hijo mío! ¡Has llegado tan lejos! ¡Qué orgulloso estoy! ¡Eres realmente mi mayor TRIUNFO científico!
diag.lab.fritzliebe.mistake.frau.bring.specimen	¡Pero también mi mayor ERROR! ¡Es hora de corregir ese error! ¡Frau Sturmbannführer! ¡Trae al espécimen!
diag.lab.fritzliebe.kriegbaer.escaped.lieblings	¡Hm! ¿El Kriegbär ha escapado? ¡Eso no pinta bien para ti, Lieblings!
diag.lab.fritzliebe.poor.kriegbaer.surrender	¡Ah, pobre Kriegbär Nº2! Era una de mis criaturas favoritas. En fin... me rindo. ¡Entrad y discutamos los términos de mi rendición!
diag.lab.fritzliebe.not.nazis.how.alive.plural	No parecéis nazis... ¿cómo demonios habéis salido con vida?
diag.lab.fritzliebe.not.nazi.how.alive.singular	No pareces nazi... ¿cómo demonios has salido con vida?
