original	key	kind
No one gets out, by order of Balista!	punk.no_one_gets_out_by_order_of_balista	dialogue-text
Mfgllll mfwrrrr! MFWRRRR!	firebug.growl_mfgllll	dialogue-text
Hey chief! I want my phone call!	prisoner.want_phone_call	dialogue-text
Hey, LOOK OUT!	prisoner.look_out	dialogue-text
W-what the hell's going ON out there?	prisoner.what_hell_going_on	dialogue-text
Kill the prisoners too! We have all the warriors we need!	punk_leader.kill_prisoners_too	dialogue-text
God save us - it's the Hive Gang!	prisoner.god_save_us_hive_gang	dialogue-text
HEY! Don't you guys have any respect for law and order?!	santana.respect_law_and_order	dialogue-text
Nope.	bobby.nope	dialogue-text
Kill them.	balista.kill_them	dialogue-text
You BASTARDS! You won't get away with this!	johnny.you_bastards	dialogue-text
I want all exits sealed. No one gets in or out. I'm going to pay the Commissioner a visit.	balista.seal_all_exits_visit_commissioner	dialogue-text
I know that FULL WELL, detective. Good night.	balista.full_well_detective_good_night	dialogue-text
You heard the lady, copper. Time to say goodnight!	bobby.heard_lady_copper_goodnight	dialogue-text
Strange noise... I'll ignore that.	grub.strange_noise_ignore	dialogue-text
You got it, Queen B.	bobby.you_got_it_queen_b	dialogue-text
Hello. I want to report the whereabouts of a notorious MASS MURDERER.	balista.report_mass_murderer	dialogue-text
Mystery woman	name.mystery_woman	dialogue-name
Sure, lady. Who?	receptionist.sure_lady_who	dialogue-text
Me.	balista.me	dialogue-text
B-Balista!	receptionist.b_balista	dialogue-text
Too many... too damn many!	officer.too_many_damn_many	dialogue-text
Blood! Blood for BALISTA!	com.blood_for_balista	dialogue-text
Yeah, yeah. Pipe it down!	officer.pipe_it_down	dialogue-text
At least the electricity is back online... but what the hell is going on with the security cameras?	receptionist.electricity_back_cameras	dialogue-text
Why did McBride bring in those rogue fighters anyway? MetroLaw will get them in the end - no point in fighting it.	officer.why_mcbride_brought_rogue_fighters	dialogue-text
Dunno. Wanted them for questioning or something. Or maybe he just wanted to stick it to those corporate slimeballs.	officer.wanted_for_questioning_corporate_slime	dialogue-text
Serves 'em right! I don't know what McBride's up to, but he's good police. Not many of us left in this city...	officer.serves_em_right_good_police	dialogue-text
Yeee-hawww!!!	punk.yeee_hawww	dialogue-text
Dead?!\r\n\r\nWhoever you are, you just pissed off the Hive Gang!	punk_leader.dead_pissed_off_hive_gang	dialogue-text
Block	text.block	text
EXIT	text.exit	text
BALISTA\r\n  IS\r\nQUEEN	text.balista_is_queen	text
HIVE GANG	text.hive_gang	text
HELP	text.help	text
KILL\r\n'EM\r\nALL	text.kill_em_all	text
KILL	text.kill	text
HIVE GANG\r\n RULEZ!	text.hive_gang_rulez	text
