key	translation
bgspeaker.ladies_gentlemen_heating_up_sftv	Senhoras e senhores, as coisas estão esquentando aqui nos estúdios da SFTV!
name.the_funnyman	O Fanfarrão
bgspeaker.team_blue_on_fire_real_firepower	O Time Azul está PEGANDO FOGO esta noite! Mas vamos ver como se saem com fogo de verdade! É hora de...
bgspeaker.the_last_stand	...O ÚLTIMO CONFRONTO!
funnyman.amazing	Incrível!
funnyman.did_you_see_that_incredible	Vocês viram isso, pessoal de casa! Incrível!
funnyman.wow	Uau!
funnyman.unbelievable	Inacreditável!
funnyman.oooo_nasty	Ooooh, que feio!
funnyman.another_one_bites_the_dust	Mais um que morde a poeira, senhoras e senhores!
funnyman.oof_thats_gotta_hurt	Opa, isso deve ter doído!
funnyman.aha_challenger_approaches	Aha! Um desafiante se aproxima!
funnyman.look_out_team_blue_danger	Cuidado, Time Azul! Perigo, perigo!
funnyman.fine_work_break	Bom trabalho! Não saiam daí, pessoal, é hora do intervalo.
funnyman.fine_work_team_blue_right_back	Bom trabalho, Time Azul! Já voltamos!
funnyman.team_blue_lives_another_day_commercials	O Time Azul vive para lutar outro dia! Já voltamos, pessoal. Roda os comerciais!
funnyman.team_blue_wins_sponsors	O Time Azul vence de novo! Voltamos após uma palavra dos nossos patrocinadores!
funnyman.team_blue_unstoppable_right_back	O Time Azul é imparável! Já voltamos!
funnyman.beautiful_more_after_break	Lindo! Voltaremos com mais Time Azul após o intervalo!
funnyman.quality_entertainment_dont_change_channel	Isso sim é entretenimento, pessoal! Não mudem de canal, já voltamos!
funnyman.what_a_show_right_back	Senhoras e senhores, que show! Já voltamos!
funnyman.boom_dont_touch_switch	Bum! Não toquem nesse botão, pessoal, já voltamos!
funnyman.dont_go_anywhere_messages	Não saiam daí, pessoal, voltamos após estes recados!
funnyman.team_blue_doesnt_disappoint_stick_around	O Time Azul não decepciona! Fiquem por aí, já voltamos!
funnyman.will_team_blue_ever_be_bested	Será que o Time Azul será derrotado um dia? Descubram após estes recados!
funnyman.team_blue_wins_how_long_luck_last	O Time Azul vence de novo – mas até quando dura a sorte? Fiquem ligados!
funnyman.thats_what_its_all_about_messages	É disso que se trata! Voltamos após estes recados!
funnyman.fantastic_more_after_break	Fantástico! Mais Time Azul após o intervalo. Não saiam daí!
funnyman.whew_team_blue_goner_stick_around	Ufa, achei que o Time Azul estava acabado! Fiquem por aí, já voltamos!
funnyman.all_for_tonight_give_it_up	É tudo por hoje, pessoal! Uma salva de palmas mais uma vez para o Time Azul!
funnyman.thats_it_for_team_blue	Acabou para o Time Azul, senhoras e senhores!
funnyman.glorious_end_give_it_up	Um fim glorioso! Uma salva de palmas para o Time Azul, senhoras e senhores!
funnyman.team_blue_bites_dust_at_last	O Time Azul mordeu a poeira enfim!
funnyman.bad_luck_long_good_run	Azar, Time Azul! Vocês tiveram uma boa sequência!
funnyman.thats_team_blue_what_a_show	E esse foi o Time Azul, senhoras e senhores! Que show!
