key	translation
ss_officer.good_evening_fritzliebe_ueberkaempfer_project	Boa noite, Dr. Fritzliebe! Como vai o projeto Überkämpfer?
fritzliebe.excellently_formula_fuehrer_unstoppable_army	Excelentemente, Herr Sturmbannführer! Os prisioneiros estão respondendo muito bem à fórmula! Em breve o Führer terá seu exército imparável!
ss_officer.whats_that_doctor	Como disse, doutor?
fritzliebe.i_said_heil_hitler	Eu disse, HEIL HITLER!
ss_officer.heil_hitler	HEIL HITLER!
ss_officer.verdammt_allied_air_strike	Verdammt! Um ataque aéreo Aliado!
fritzliebe.soon_fuehrer_cower_before_fritzliebe	(E logo o próprio Führer vai se acovardar diante de Fritzliebe! Ha-ha!)
nazi_scientist.mein_gott_stop_them	Mein Gott! Parem-nos!
fritzliebe.fear_not_antiaircraft_deal_shortly	Não temam! Meu sistema antiaéreo cuidará deles em breve!
fritzliebe.old_cellars_poor_condition_raus	Ainda... esses porões antigos estão em péssimo estado. Raus!!
popup.castle_sonnenfreude_austria_december_1943	Castelo Sonnenfreude\nEm algum lugar da Áustria\nDezembro de 1943
ss_officer.again_from_top_more_feeling	De novo, do começo! E com mais sentimento desta vez!
name.ss_officer	Oficial da SS
ss_officer.nein_too_late_again	Nein, nein, nein! Atrasado de novo!
chorus.o_tannenbaum_treu_blaetter	O Tannenbaum, o Tannenbaum,\nwie treu sind deine Blätter!
name.chorus	Coro
chorus.du_gruenst_nicht_nur_sommerzeit_winter_schneit	Du grünst nicht nur zur Sommerzeit,\nNein auch im Winter, wenn es schneit!
ss_officer.verdammt_wo_ist_der_aufzug	Verdammt! Wo ist der Aufzug?
ss_officer.das_ist_unfair	Das ist unfair!
nazi_soldier.nein_weihnachtsbaum_nicht_zerstoeren	NEIN! Du darfst den Weihnachtsbaum nicht zerstören!
zombie.attentaten	Attentaten!!!
bgspeaker.biochemie_specialty_true	BIOQUÍMICA é minha especialidade, é verdade...
name.dr_fritzliebe	Dr. Fritzliebe
fritzliebe.mechanische_advancements_show_you	...mas também tenho muitos avanços MECÂNICOS para mostrar!
fritzliebe.ha_ve_shall_see	Ha! Veremos!
fritzliebe.impudent_fools	Tolos insolentes!
fritzliebe.cough_schweinhunden_killed_not_escape_alive	*tosse* Arrrrgh... Schweinhunden! Vocês me mataram... mas não sairão daqui vivos!
fritzliebe.die_now	Morram agora!
